City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kannur,SavithaTheatreKannur,Malayalam,14:30,Melody,₹177,249,147
Kannur,SavithaTheatreKannur,Malayalam,17:30,Melody,₹177,249,121
Kannur,SavithaTheatreKannur,Malayalam,20:30,Melody,₹177,249,131
Thrissur,RagamTheatre4KDolbyAtmosThrissur,Malayalam,09:30,Balcony,₹175,197,0
Thrissur,RagamTheatre4KDolbyAtmosThrissur,Malayalam,09:30,FirstClass,₹145,550,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:45,Normal,₹160,34,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:45,Executive,₹180,136,5
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:45,Premium,₹200,137,13
Ernakulam,CinepolisVipCentreSquareMallKochi,Malayalam,10:00,VipExecutive,₹400,20,20
Ernakulam,CinepolisVipCentreSquareMallKochi,Malayalam,10:00,VipPremium,₹450,53,53
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:00,VipExecutive,₹300,18,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,10:00,VipPremium,₹300,18,8
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Normal,₹220,38,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Executive,₹240,69,6
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Premium,₹260,56,4
Ernakulam,NewCentralTalkiesDolbyAtmos2KAnd3DThripun,Malayalam,10:00,Platinum,₹260,11,3
Ernakulam,NewCentralTalkiesDolbyAtmos2KAnd3DThripun,Malayalam,10:00,Gold,₹200,129,31
Ernakulam,CinepolisVipCentreSquareMallKochi,Malayalam,10:00,VipExecutive,₹400,20,0
Ernakulam,CinepolisVipCentreSquareMallKochi,Malayalam,10:00,VipPremium,₹450,53,10
Ernakulam,PvrLuluKochi,Malayalam,10:10,Recliner,₹380,13,10
Ernakulam,PvrLuluKochi,Malayalam,10:10,Prime,₹210,92,55
Ernakulam,PvrLuluKochi,Malayalam,10:10,ClassicPlus,₹190,126,49
Ernakulam,PvrLuluKochi,Malayalam,10:10,Classic,₹170,54,0
Ernakulam,MyCinemasRedCarpetKariyad,Malayalam,10:15,3DGoldPackage320,₹320,32,10
Ernakulam,MyCinemasRedCarpetKariyad,Malayalam,10:15,3DExecutivePackage220,₹220,96,7
Kannur,MagicFramesDowntownMallThalassery,Malayalam,10:25,Gold3D,₹190,136,7
Kannur,ArchanaCineplexRgbLaser4K3DAtmosPayyanur,Malayalam,10:30,Standard3D,₹149.7,131,76
Kannur,AlakodeFilmCity4KDolbyAtmos,Malayalam,10:30,Nakshatra3D,₹180,212,5
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Normal,₹220,27,6
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Executive,₹240,78,16
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:30,Premium,₹260,41,13
Alappuzha,SanthoshVallakaliCineComplex,Malayalam,10:30,KingCircle,₹150,256,56
Kannur,BabyCinemasKuthuparamba,Malayalam,10:30,Standard3D,₹160,168,33
Kozhikode,SandhyaCineHouseBalussery,Malayalam,10:30,Class1,₹170,156,46
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Malayalam,10:30,Executive3D,₹159.7,222,19
Kasaragod,VgmMultiplexAC2K71Dolby,Malayalam,10:30,VgmRed3D,₹210,161,26
Kollam,MyCinemasRpMallKollamKerala,Malayalam,10:30,3DPremiumPackage210,₹210,96,6
Kottayam,AnchaniCinemas4KDolbyAtmosPallickathodu,Malayalam,10:30,Platinum,₹250,16,0
Kottayam,AnchaniCinemas4KDolbyAtmosPallickathodu,Malayalam,10:30,Gold,₹150,171,0
Kannur,CrownCinema2KDolbyTaliparamba,Malayalam,10:30,Crown,₹150,201,20
Kottayam,ApsaraTheatreDolby71Changanassery,Malayalam,10:45,KingsLounge3D,₹142,115,3
Kottayam,ApsaraTheatreDolby71Changanassery,Malayalam,10:45,RoyalLounge3D,₹170,160,7
Kottayam,ApsaraTheatreDolby71Changanassery,Malayalam,10:45,PrinceLounge3D,₹130,268,0
Kottayam,AnupamaTheatreDolby71Kottayam,Malayalam,10:45,PremiumBalcony3D,₹170,149,2
Kottayam,AnupamaTheatreDolby71Kottayam,Malayalam,10:45,UpperCircle3D,₹130,473,6
Kottayam,AnupamaTheatreDolby71Kottayam,Malayalam,10:45,Circle3D,₹140,194,194
Trivandrum,ArtechCinemasTrivandrum,Malayalam,10:45,Gold,₹350,13,0
Trivandrum,ArtechCinemasTrivandrum,Malayalam,10:45,Platinum,₹190,80,14
Trivandrum,ArtechCinemasTrivandrum,Malayalam,10:45,Silver,₹170,84,0
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:50,Normal,₹170,30,6
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:50,Executive,₹190,45,13
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:50,Premium,₹210,96,36
Kollam,MyCinemasHJComplexKarunagapally,Malayalam,10:50,3DClassicPack180,₹180,118,2
