City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kannur,SavithaTheatreKannur,Malayalam,11:30,Melody,₹177,444,198
Kannur,SavithaTheatreKannur,Malayalam,14:30,Melody,₹177,444,229
Kannur,SavithaTheatreKannur,Malayalam,17:30,Melody,₹177,444,299
Kannur,SavithaTheatreKannur,Malayalam,20:45,Melody,₹177,444,404
Kannur,SavithaTheatreKannur,Malayalam,21:00,Melody,₹177,249,145
Ernakulam,MCinemas4K3DDolbyAtmosVarapuzha,Malayalam,09:00,Audi13D,₹190,244,103
Ernakulam,KavithaTheatre4K3DDolby71Ernakulam,Malayalam,09:00,GoldCircle3D,₹190,306,36
Ernakulam,KavithaTheatre4K3DDolby71Ernakulam,Malayalam,09:00,SilverCircle3D,₹170,770,3
Ernakulam,KavithaTheatre4K3DDolby71Ernakulam,Malayalam,09:00,Sofa3D,₹280,23,2
Trivandrum,DreamsAttingal,Malayalam,09:00,Recliner3D,₹380,15,2
Trivandrum,DreamsAttingal,Malayalam,09:00,Sofa3D,₹230,120,49
Ernakulam,PvrForumMallKochi,Malayalam,09:00,Recliner,₹430,13,1
Ernakulam,PvrForumMallKochi,Malayalam,09:00,Elite,₹230,218,92
Ernakulam,PvrForumMallKochi,Malayalam,09:00,Prime,₹200,60,2
Ernakulam,PvrForumMallKochi,Malayalam,09:00,Classic,₹190,40,0
Trivandrum,PvrLuluTrivandrum,Malayalam,09:00,Recliner,₹580,9,5
Trivandrum,PvrLuluTrivandrum,Malayalam,09:00,Prime,₹280,76,14
Trivandrum,PvrLuluTrivandrum,Malayalam,09:00,Classic,₹240,105,0
Trivandrum,PvrLuluTrivandrum,Malayalam,09:00,Recliner,₹500,9,5
Trivandrum,PvrLuluTrivandrum,Malayalam,09:00,Prime,₹260,76,3
Trivandrum,PvrLuluTrivandrum,Malayalam,09:00,Classic,₹230,105,0
Ernakulam,PvrForumMallKochi,Malayalam,09:00,Recliner,₹400,13,2
Ernakulam,PvrForumMallKochi,Malayalam,09:00,Elite,₹180,218,121
Ernakulam,PvrForumMallKochi,Malayalam,09:00,Prime,₹170,60,6
Ernakulam,PvrForumMallKochi,Malayalam,09:00,Classic,₹160,40,0
Ernakulam,PvrOberonMallKochi,Malayalam,09:10,ClassicPlus,₹215,141,26
Ernakulam,PvrOberonMallKochi,Malayalam,09:10,Classic,₹195,36,0
Ernakulam,PvrOberonMallKochi,Malayalam,09:10,ClassicPlus,₹170,141,12
Ernakulam,PvrOberonMallKochi,Malayalam,09:10,Classic,₹150,36,0
Ernakulam,MCinemas4K3DDolbyAtmosVarapuzha,Malayalam,09:15,Audi2,₹150,182,1
Thrissur,RagamTheatre4KDolbyAtmosThrissur,Malayalam,09:30,Balcony,₹175,197,185
Thrissur,RagamTheatre4KDolbyAtmosThrissur,Malayalam,09:30,FirstClass,₹145,550,419
Trivandrum,PvrKripaThampanoorTrivandrum,Malayalam,09:30,Classic,₹165,325,86
Trivandrum,ArtechCinemasTrivandrum,Malayalam,09:30,Gold3D,₹330,13,3
Trivandrum,ArtechCinemasTrivandrum,Malayalam,09:30,Platinum3D,₹240,80,17
Trivandrum,ArtechCinemasTrivandrum,Malayalam,09:30,Silver3D,₹220,84,7
Ernakulam,PvrForumMallKochi,Malayalam,09:30,LuxePrime,₹530,42,17
Ernakulam,PvrForumMallKochi,Malayalam,09:30,Luxe,₹380,16,0
Trivandrum,PvrLuluTrivandrum,Malayalam,09:30,LuxePrime,₹680,26,0
Trivandrum,PvrLuluTrivandrum,Malayalam,09:30,Luxe,₹580,24,0
Ernakulam,PvrLuluKochi,Malayalam,09:30,Recliner,₹630,54,10
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:30,Normal,₹150,30,10
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:30,Executive,₹190,45,0
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:30,Premium,₹210,96,1
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:30,Normal,₹180,40,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:30,Executive,₹200,160,3
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:30,Premium,₹220,92,3
Trivandrum,CinepolisMotTrivandrum,Malayalam,09:30,Vip,₹400,15,0
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:30,Normal,₹150,30,11
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:30,Executive,₹170,45,10
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:30,Premium,₹200,96,15
Trivandrum,PvrKripaThampanoorTrivandrum,Malayalam,09:30,Classic,₹140,325,56
Ernakulam,PvrLuluKochi,Malayalam,09:30,Recliner,₹600,54,8
Ernakulam,PvrForumMallKochi,Malayalam,09:30,LuxePrime,₹450,42,15
Ernakulam,PvrForumMallKochi,Malayalam,09:30,Luxe,₹350,16,0
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:40,Normal,₹240,29,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:40,Executive,₹260,83,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:40,Premium,₹280,44,0
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:40,Normal,₹220,29,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:40,Executive,₹240,83,6
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,09:40,Premium,₹260,44,1
Thrissur,InoxSobhaCityMall,Malayalam,09:45,RoyalRecliner,₹250,14,4
Thrissur,InoxSobhaCityMall,Malayalam,09:45,Club,₹180,256,0
Thrissur,InoxSobhaCityMall,Malayalam,09:45,Royal,₹180,51,21
Thrissur,InoxSobhaCityMall,Malayalam,09:45,Executive,₹150,36,0
Ernakulam,PvrLuluKochi,Malayalam,09:45,Recliner,₹480,10,6
Ernakulam,PvrLuluKochi,Malayalam,09:45,Prime,₹260,108,67
Ernakulam,PvrLuluKochi,Malayalam,09:45,ClassicPlus,₹240,138,51
Ernakulam,PvrLuluKochi,Malayalam,09:45,Classic,₹190,69,1
Thrissur,InoxSobhaCityMall,Malayalam,09:45,RoyalRecliner,₹200,14,0
Thrissur,InoxSobhaCityMall,Malayalam,09:45,Club,₹130,256,10
Thrissur,InoxSobhaCityMall,Malayalam,09:45,Royal,₹130,51,29
Thrissur,InoxSobhaCityMall,Malayalam,09:45,Executive,₹100,36,0
Ernakulam,PvrOberonMallKochi,Malayalam,09:50,Recliner,₹375,14,0
Ernakulam,PvrOberonMallKochi,Malayalam,09:50,ClassicPlus,₹215,115,19
Ernakulam,PvrOberonMallKochi,Malayalam,09:50,Classic,₹195,53,0
Trivandrum,PvrLuluTrivandrum,Malayalam,09:50,Recliner,₹530,11,2
Trivandrum,PvrLuluTrivandrum,Malayalam,09:50,Prime,₹260,120,31
Trivandrum,PvrLuluTrivandrum,Malayalam,09:50,Classic,₹240,119,5
Alappuzha,SwathyScreensNooranad,Malayalam,10:00,Premium3D,₹190,310,124
Alappuzha,SwathyScreensNooranad,Malayalam,10:00,RedPlus3D,₹240,24,14
Ernakulam,JmMoviesJoshMallMookkannoorAngamaly,Malayalam,10:00,Platinum3D,₹190,16,16
Ernakulam,JmMoviesJoshMallMookkannoorAngamaly,Malayalam,10:00,Gold3D,₹159,120,120
Idukki,AashirvadCineplexxThodupuzha,Malayalam,10:00,Gold,₹200,69,12
Idukki,AashirvadCineplexxThodupuzha,Malayalam,10:00,Silver,₹165,254,44
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,10:00,Recliner,₹350,19,3
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,10:00,Platinum,₹170,55,18
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,10:00,Gold,₹150,222,33
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,10:00,Silver,₹90,28,0
Kottayam,AnchaniCinemas4KDolbyAtmosPallickathodu,Malayalam,10:00,Platinum,₹250,16,3
