City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kasaragod,KaveriCinemasACDTSDolbyKarmamthody,Malayalam,10:30,Standard,₹110,145,0
Thrissur,INOXSobhaCityMall,Malayalam,10:45,RoyalRecliner,₹200,10,1
Thrissur,INOXSobhaCityMall,Malayalam,10:45,Club,₹130,155,0
Thrissur,INOXSobhaCityMall,Malayalam,10:45,Royal,₹130,32,2
Thrissur,INOXSobhaCityMall,Malayalam,10:45,Executive,₹100,26,0
Ernakulam,CinepolisCentreSquareKochi,Malayalam,10:50,Normal,₹99,25,2
Ernakulam,CinepolisCentreSquareKochi,Malayalam,10:50,Executive,₹99,56,0
Ernakulam,CinepolisCentreSquareKochi,Malayalam,10:50,Premium,₹99,95,10
Palakkad,Priyadarsini3D2KACDolbyAtmosPalakkad,Malayalam,11:30,Executive,₹180,68,0
Palakkad,Priyadarsini3D2KACDolbyAtmosPalakkad,Malayalam,11:30,DressCircle,₹110,344,0
Kannur,LibertyParadiseThalassery,Malayalam,11:30,Mini,₹129.8,250,175
Kannur,CinepolisSecuraCentreKannur,Malayalam,12:00,Normal,₹140,20,0
Kannur,CinepolisSecuraCentreKannur,Malayalam,12:00,Executive,₹160,62,2
Kannur,CinepolisSecuraCentreKannur,Malayalam,12:00,Premium,₹180,30,2
Thrissur,ShivadhamCinemasUrakamThrissur,Malayalam,12:00,Platinum,₹260,22,0
Thrissur,ShivadhamCinemasUrakamThrissur,Malayalam,12:00,Gold,₹150,168,0
Thrissur,ShivadhamCinemasUrakamThrissur,Malayalam,12:00,Silver,₹129,60,0
Ernakulam,PVRForumMallKochi,Malayalam,12:45,Recliner,₹350,10,1
Ernakulam,PVRForumMallKochi,Malayalam,12:45,Elite,₹170,111,25
Ernakulam,PVRForumMallKochi,Malayalam,12:45,Classic,₹150,24,0
Kannur,AlakodeFilmCity4KDolbyAtmos,Malayalam,13:15,Chandra,₹160,151,20
Ernakulam,PVROberonMallKochi,Malayalam,13:30,ClassicPlus,₹160,104,0
Ernakulam,PVROberonMallKochi,Malayalam,13:30,Classic,₹140,54,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,13:30,Recliner,₹390,29,3
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,13:30,Premium,₹190,135,18
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,13:30,Executive,₹150,27,3
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,13:30,Lounger,₹210,24,1
Kozhikode,ARCCoronation4KDolbyAtmos,Malayalam,13:30,Elite,₹160,146,4
Kannur,AuraCinemasPeravoor,Malayalam,13:30,Screen2,₹130,145,0
Trivandrum,PVRLuluTrivandrum,Malayalam,14:00,Recliner,₹350,7,0
Trivandrum,PVRLuluTrivandrum,Malayalam,14:00,Prime,₹190,51,0
Trivandrum,PVRLuluTrivandrum,Malayalam,14:00,Classic,₹170,70,0
Palakkad,KRVMoviesKottayi,Malayalam,14:30,FirstClass,₹129.8,125,1
Palakkad,Priyadarsini3D2KACDolbyAtmosPalakkad,Malayalam,14:30,Executive,₹180,68,0
Palakkad,Priyadarsini3D2KACDolbyAtmosPalakkad,Malayalam,14:30,DressCircle,₹110,344,0
Alappuzha,CherthalaKairaliSreeTheatre,Malayalam,14:30,Platinum,₹125,262,5
Kasaragod,VGMMultiplexAC2K7Point1Dolby,Malayalam,14:30,VgmRed,₹190,161,20
Kannur,LibertyParadiseThalassery,Malayalam,14:45,Mini,₹129.8,250,177
Idukki,AiswaryaCinemasKattappana,Malayalam,15:00,Diamond,₹129,172,0
Ernakulam,PadmaCinemaKochi,Malayalam,15:00,Platinum,₹160,178,30
Thrissur,JosTheatre4KRGBLaserAtmosThrissur,Malayalam,15:00,Sofa,₹230,18,2
Thrissur,JosTheatre4KRGBLaserAtmosThrissur,Malayalam,15:00,Club,₹150,282,21
Kannur,CinepolisSecuraCentreKannur,Malayalam,15:30,Normal,₹140,24,0
Kannur,CinepolisSecuraCentreKannur,Malayalam,15:30,Executive,₹160,92,7
Kannur,CinepolisSecuraCentreKannur,Malayalam,15:30,Premium,₹180,60,4
Ernakulam,PVRForumMallKochi,Malayalam,15:45,Recliner,₹350,10,0
Ernakulam,PVRForumMallKochi,Malayalam,15:45,Elite,₹170,111,16
Ernakulam,PVRForumMallKochi,Malayalam,15:45,Classic,₹150,24,0
Kottayam,MYCinemasThalayolaparambuKerala,Malayalam,15:45,Gold,₹110,204,0
Ernakulam,PVRLuluKochi,Malayalam,16:15,Recliner,₹350,13,2
Ernakulam,PVRLuluKochi,Malayalam,16:15,Prime,₹200,143,9
Ernakulam,PVRLuluKochi,Malayalam,16:15,ClassicPlus,₹180,133,7
Ernakulam,PVRLuluKochi,Malayalam,16:15,Classic,₹160,57,0
Ernakulam,MYCinemasKSRTComplexAngamalyKerala,Malayalam,16:30,Gold,₹130,203,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,16:55,Silver,₹150,30,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,16:55,Gold,₹170,105,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,16:55,Platinum,₹190,57,0
Ernakulam,CinepolisCentreSquareKochi,Malayalam,17:00,Normal,₹99,25,2
Ernakulam,CinepolisCentreSquareKochi,Malayalam,17:00,Executive,₹99,56,0
Ernakulam,CinepolisCentreSquareKochi,Malayalam,17:00,Premium,₹99,95,35
Kasaragod,VGMMultiplexAC2K7Point1Dolby,Malayalam,17:30,VgmRed,₹190,161,16
Kottayam,AbhilashTheatre4KKottayam,Malayalam,17:45,Royal,₹180,16,3
Kottayam,AbhilashTheatre4KKottayam,Malayalam,17:45,Platinum,₹150,252,0
Kottayam,AbhilashTheatre4KKottayam,Malayalam,17:45,Gold,₹130,413,0
Kottayam,AbhilashTheatre4KKottayam,Malayalam,17:45,Silver,₹110,54,0
