City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Trivandrum,PvrLuluTrivandrum,Tamil,10:10,Recliner,₹450,8,2
Trivandrum,PvrLuluTrivandrum,Tamil,10:10,Prime,₹190,34,5
Trivandrum,PvrLuluTrivandrum,Tamil,10:10,Classic,₹160,65,7
Palakkad,NewAromaTheatrePalakkad,Tamil,11:15,PlatinumCircle,₹129.8,200,200
Palakkad,NewAromaTheatrePalakkad,Tamil,11:15,DiamondCircle,₹110,229,229
Palakkad,CowmalyaTheatreKozhinjampara,Tamil,13:50,Gold,₹129.8,207,12
Palakkad,NewAromaTheatrePalakkad,Tamil,14:15,PlatinumCircle,₹129.8,200,0
Palakkad,NewAromaTheatrePalakkad,Tamil,14:15,DiamondCircle,₹110,229,0
Ernakulam,PvrForumMallKochi,Tamil,15:45,Recliner,₹400,8,0
Ernakulam,PvrForumMallKochi,Tamil,15:45,Elite,₹190,111,10
Ernakulam,PvrForumMallKochi,Tamil,15:45,Classic,₹170,28,0
Palakkad,NewAromaTheatrePalakkad,Tamil,18:00,PlatinumCircle,₹129.8,200,0
Palakkad,NewAromaTheatrePalakkad,Tamil,18:00,DiamondCircle,₹110,229,0
Trivandrum,PvrLuluTrivandrum,Tamil,18:45,Recliner,₹450,8,3
Trivandrum,PvrLuluTrivandrum,Tamil,18:45,Prime,₹240,34,19
Trivandrum,PvrLuluTrivandrum,Tamil,18:45,Classic,₹190,65,15
Palakkad,NewAromaTheatrePalakkad,Tamil,21:00,PlatinumCircle,₹129.8,200,0
Palakkad,NewAromaTheatrePalakkad,Tamil,21:00,DiamondCircle,₹110,229,2
Ernakulam,PvrLuluKochi,Tamil,22:10,Recliner,₹400,10,2
Ernakulam,PvrLuluKochi,Tamil,22:10,Prime,₹200,68,22
Ernakulam,PvrLuluKochi,Tamil,22:10,ClassicPlus,₹160,91,17
Ernakulam,PvrLuluKochi,Tamil,22:10,Classic,₹140,39,0
