City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Trivandrum,PVRKripaThampanoorTrivandrum,Tamil,09:45,Prime,₹160,16,0
Trivandrum,PVRKripaThampanoorTrivandrum,Tamil,09:45,Classic,₹140,196,1
Thrissur,INOXSobhaCityMall,Tamil,10:00,RoyalRecliner,₹200,10,0
Thrissur,INOXSobhaCityMall,Tamil,10:00,Club,₹130,155,0
Thrissur,INOXSobhaCityMall,Tamil,10:00,Royal,₹130,32,0
Thrissur,INOXSobhaCityMall,Tamil,10:00,Executive,₹100,26,0
Kannur,BabyCinemasKuthuparamba,Tamil,10:00,Standard,₹130,168,0
Ernakulam,PVROberonMallKochi,Tamil,10:05,ClassicPlus,₹160,141,5
Ernakulam,PVROberonMallKochi,Tamil,10:05,Classic,₹140,36,0
Trivandrum,PVRLuluTrivandrum,Tamil,10:10,Recliner,₹350,8,0
Trivandrum,PVRLuluTrivandrum,Tamil,10:10,Prime,₹190,84,9
Trivandrum,PVRLuluTrivandrum,Tamil,10:10,Classic,₹170,88,2
Ernakulam,PVRLuluKochi,Tamil,10:10,Recliner,₹300,13,3
Ernakulam,PVRLuluKochi,Tamil,10:10,Prime,₹180,92,2
Ernakulam,PVRLuluKochi,Tamil,10:10,ClassicPlus,₹160,126,14
Ernakulam,PVRLuluKochi,Tamil,10:10,Classic,₹140,54,3
Kozhikode,CinepolisGokulamGalleriaMall,Tamil,10:15,Normal,₹99,27,4
Kozhikode,CinepolisGokulamGalleriaMall,Tamil,10:15,Executive,₹99,74,7
Kozhikode,CinepolisGokulamGalleriaMall,Tamil,10:15,Premium,₹99,41,8
Malappuram,JayaKeralaTheatreParappanangadi,Tamil,10:30,Standard,₹80,546,0
Malappuram,JayaKeralaTheatreParappanangadi,Tamil,10:30,Executive,₹100,100,0
Trivandrum,GreenfieldMoviemaxCinemasTrivandrum,Tamil,10:30,Executive,₹160,132,3
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Tamil,10:30,Silver,₹130,30,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Tamil,10:30,Gold,₹150,105,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Tamil,10:30,Platinum,₹170,57,0
Kannur,CinepolisSecuraCentreKannur,Tamil,10:30,Normal,₹110,20,0
Kannur,CinepolisSecuraCentreKannur,Tamil,10:30,Executive,₹140,62,2
Kannur,CinepolisSecuraCentreKannur,Tamil,10:30,Premium,₹160,30,5
Kannur,ShanthiCinemasPayyanur,Tamil,10:30,Platinum,₹130,314,5
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Tamil,10:30,Executive,₹129.7,258,3
Alappuzha,SandraVallakaliCineComplex,Tamil,10:45,PlatinumFamilyClass,₹130,114,22
Alappuzha,SandraVallakaliCineComplex,Tamil,10:45,GoldBalcony,₹110,143,23
Palakkad,CowmalyaTheatreKozhinjampara,Tamil,11:00,Gold,₹129.8,477,29
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,11:00,RoyalCircle,₹150,415,0
Ernakulam,GCinemasKothamangalam4K3DDolbyAtmos,Tamil,11:00,Standard,₹150,162,3
Trivandrum,SriKalidasMPlex4KRGBLaserAtmosKattakkada,Tamil,11:00,Sofa,₹200,4,0
Trivandrum,SriKalidasMPlex4KRGBLaserAtmosKattakkada,Tamil,11:00,Gold,₹150,170,0
Trivandrum,SriKalidasMPlex4KRGBLaserAtmosKattakkada,Tamil,11:00,Recliner,₹400,22,6
Trivandrum,SriKalidasMPlex4KRGBLaserAtmosKattakkada,Tamil,11:00,Gold,₹180,236,0
Trivandrum,SriKalidasMPlex4KRGBLaserAtmosKattakkada,Tamil,11:00,Silver,₹150,96,0
Idukki,ChandanaCinemaMarayur,Tamil,11:00,BoxLeft,₹129.19,26,0
Idukki,ChandanaCinemaMarayur,Tamil,11:00,BoxRight,₹129.19,24,17
Idukki,ChandanaCinemaMarayur,Tamil,11:00,FirstClasss,₹120,356,327
Kottayam,AnuAbhinayaCineplex4KDolby7Point1Changanassery,Tamil,11:00,Platinum,₹150,90,1
Kottayam,AnuAbhinayaCineplex4KDolby7Point1Changanassery,Tamil,11:00,Gold,₹140,180,2
Kottayam,AnuAbhinayaCineplex4KDolby7Point1Changanassery,Tamil,11:00,Silver,₹110,20,0
Kollam,DevaCarnivalCinemasDMallPunalur,Tamil,11:00,Sofa,₹200,11,0
Kollam,DevaCarnivalCinemasDMallPunalur,Tamil,11:00,Silver,₹129.7,147,9
Pathanamthitta,TrinityMovieMaxPathanamthitta,Tamil,11:00,Balcony,₹190,150,14
Pathanamthitta,TrinityMovieMaxPathanamthitta,Tamil,11:00,Special,₹150,100,0
Kollam,SeemaCineplexPathanapuram,Tamil,11:00,Audi3,₹140,136,3
Kasaragod,DeepthiCinemasAC2KDolbyAtmosKanhangad,Tamil,11:00,Gold,₹150,204,17
Kollam,MYCinemasHJComplexKarunagapally,Tamil,11:00,Classic,₹110,118,2
Palakkad,VCinemasSreeDeviDurgaPalakkad,Tamil,11:15,Sofa,₹180,89,9
Palakkad,VCinemasSreeDeviDurgaPalakkad,Tamil,11:15,GoldCircle,₹129.8,339,13
Trivandrum,GangaCineHouse4KDolbyAtmosAttingal,Tamil,11:15,Executive,₹300,128,0
Trivandrum,GangaCineHouse4KDolbyAtmosAttingal,Tamil,11:15,Premium,₹200,200,4
Trivandrum,GTracksScreen2Sony4KKadinamkulam,Tamil,11:15,Platinum,₹129.7,243,0
Ernakulam,PanCinemasNucleusMall,Tamil,11:20,Platinum,₹240,7,0
Ernakulam,PanCinemasNucleusMall,Tamil,11:20,Gold,₹180,120,0
Thrissur,ShadowCinemasPazhayannur,Tamil,11:30,Platinum,₹200,16,0
Thrissur,ShadowCinemasPazhayannur,Tamil,11:30,Gold,₹140,192,8
Trivandrum,NewTheatre4KRGBLASERDolbyAtmosTrivandrum,Tamil,11:30,Elite,₹150,200,15
Palakkad,KadankavilCinemas2KLaserVadakkenchery,Tamil,11:30,Recliner,₹400,12,0
Palakkad,KadankavilCinemas2KLaserVadakkenchery,Tamil,11:30,Platinum,₹180,84,0
Palakkad,KadankavilCinemas2KLaserVadakkenchery,Tamil,11:30,Diamond,₹110,198,0
Alappuzha,PankajTheatreAlappuzha,Tamil,11:30,Balcony,₹129.78,339,3
Alappuzha,PankajTheatreAlappuzha,Tamil,11:30,FirstClass,₹120,525,3
Trivandrum,SAMultiplex4K3DDolbyAtmosPulluvila,Tamil,11:30,Platinum,₹250,20,0
Trivandrum,SAMultiplex4K3DDolbyAtmosPulluvila,Tamil,11:30,Gold,₹150,114,0
Kottayam,VelvetViewCinemasKumarakom,Tamil,11:30,Platinum,₹250,14,0
Kottayam,VelvetViewCinemasKumarakom,Tamil,11:30,Gold,₹150,96,2
Kottayam,VelvetViewCinemasKumarakom,Tamil,11:30,Silver,₹130,28,0
Palakkad,TMAXCINEPLEXDOLBY7Point1TRIPLEBEAM3D,Tamil,11:30,Premium,₹100,237,0
Palakkad,KairaliSreeTheatreChittur,Tamil,11:30,Platinum,₹105,234,2
Palakkad,SnehaCinemaACAlathur,Tamil,11:30,Sofa,₹180,20,0
Palakkad,SnehaCinemaACAlathur,Tamil,11:30,Platinum,₹150,136,20
Alappuzha,SNTheatreHaripad,Tamil,11:30,Screen2,₹110,259,0
Palakkad,KrishnaCineplex4KRGBLaser3DDolbyAtmos,Tamil,11:30,StarCircle,₹110,123,0
Malappuram,SreedeviCinePalaceManjeri,Tamil,11:30,Gopalakrishna,₹150,157,114
Idukki,GCinemaxMultiplex,Tamil,11:45,Audi2,₹150,155,0
Kollam,Gmax4KUtsavAradhanaComplex,Tamil,11:45,Royal,₹150,333,5
Idukki,SILVERHILLSCINEMAS4KLaser3DDOLBY7Point1,Tamil,11:45,Gold,₹230,16,0
Idukki,SILVERHILLSCINEMAS4KLaser3DDOLBY7Point1,Tamil,11:45,Silver,₹130,224,0
Idukki,AiswaryaCinemasKattappana,Tamil,12:00,Gold,₹129,311,4
Idukki,AiswaryaCinemasKattappana,Tamil,12:00,Platinum,₹200,68,2
Ernakulam,KavithaTheatre4K3DDolby7Point1Ernakulam,Tamil,12:00,GoldCircle,₹170,306,41
Ernakulam,KavithaTheatre4K3DDolby7Point1Ernakulam,Tamil,12:00,SilverCircle,₹150,770,44
Ernakulam,KavithaTheatre4K3DDolby7Point1Ernakulam,Tamil,12:00,Sofa,₹250,23,0
Ernakulam,ZeenathTheatre2KACAluva,Tamil,12:00,Balcony,₹170,55,14
Ernakulam,ZeenathTheatre2KACAluva,Tamil,12:00,EmeraldRing,₹130,124,11
Thrissur,MasMoviesIrinjalakuda,Tamil,12:00,Royal,₹220,21,0
Thrissur,MasMoviesIrinjalakuda,Tamil,12:00,Gold,₹129,351,1
Palakkad,AnuragCinemaShoranur,Tamil,12:00,Screen2,₹110,113,0
Trivandrum,CinepolisMOTTrivandrum,Tamil,12:05,Normal,₹160,34,0
