City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kollam,AashirvadCineplexxPathanapuram,Tamil,10:15,Sofa,₹290,16,0
Kollam,AashirvadCineplexxPathanapuram,Tamil,10:15,Platinum,₹210,76,0
Kollam,AashirvadCineplexxPathanapuram,Tamil,10:15,Gold,₹160,95,0
Trivandrum,GreenfieldMoviemaxCinemasTrivandrum,Tamil,10:30,Executive,₹160,119,0
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Tamil,10:30,Executive,₹129.7,175,0
Kannur,ArchanaCineplexRGBLaser4K3DATMOSPayyanur,Tamil,10:30,Standard,₹129.7,125,0
Pathanamthitta,TrinityMovieMaxPathanamthitta,Tamil,11:00,Special,₹150,110,6
Trivandrum,IMPBigScreen2K3DDolbyAtmos,Tamil,11:00,UniqueCircle,₹130,370,0
Trivandrum,SriKalidasMPlex4KRGBLaserAtmosKattakkada,Tamil,11:00,Sofa,₹200,4,0
Trivandrum,SriKalidasMPlex4KRGBLaserAtmosKattakkada,Tamil,11:00,Gold,₹150,170,0
Palakkad,RavirajComplexACKozhinjampara,Tamil,11:00,Recliner,₹300,31,13
Palakkad,RavirajComplexACKozhinjampara,Tamil,11:00,FirstClass,₹120,247,108
Kollam,AashirvadCineplexxPathanapuram,Tamil,11:00,Sofa,₹290,16,0
Kollam,AashirvadCineplexxPathanapuram,Tamil,11:00,Platinum,₹210,76,0
Kollam,AashirvadCineplexxPathanapuram,Tamil,11:00,Gold,₹160,95,0
Kozhikode,AashirvadCineplexxKozhikode,Tamil,11:00,Platinum,₹220,27,0
Kozhikode,AashirvadCineplexxKozhikode,Tamil,11:00,Gold,₹200,60,0
Idukki,SilverHillsNaxaCinemas,Tamil,11:00,Silver,₹160,172,0
Palakkad,KrishnaCineplex4KRGBLaser3DDolbyAtmos,Tamil,11:00,StarCircle,₹110,123,0
Trivandrum,AjantaTheatre4KWideTrivandrum,Tamil,11:15,GrandA,₹350,6,0
Trivandrum,AjantaTheatre4KWideTrivandrum,Tamil,11:15,GrandB,₹350,9,0
Trivandrum,AjantaTheatre4KWideTrivandrum,Tamil,11:15,Royale,₹250,22,0
Trivandrum,AjantaTheatre4KWideTrivandrum,Tamil,11:15,Premium,₹150,264,0
Trivandrum,ChhotuMaharajCineCafeTrivandrum,Tamil,11:30,Executive,₹250,8,0
Trivandrum,ChhotuMaharajCineCafeTrivandrum,Tamil,11:30,Normal,₹160,52,0
Trivandrum,ChhotuMaharajCineCafeTrivandrum,Tamil,11:30,Premium,₹160,85,1
Wayanad,VeenaVarnaTheatreMananthavadyAC2K3D,Tamil,11:30,Diamond,₹120,224,0
Palakkad,KadankavilCinemas2KLaserVadakkenchery,Tamil,11:30,Recliner,₹400,12,0
Palakkad,KadankavilCinemas2KLaserVadakkenchery,Tamil,11:30,Platinum,₹180,84,0
