City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Idukki,AiswaryaCinemasKattappana,Malayalam,09:00,Diamond,₹129,172,0
Thrissur,JKCinemas4KDolbyAtmosThriprayar,Malayalam,09:15,Luxury,₹220,15,0
Thrissur,JKCinemas4KDolbyAtmosThriprayar,Malayalam,09:15,Diamond,₹150,126,6
Thrissur,JKCinemas4KDolbyAtmosThriprayar,Malayalam,09:15,Gold,₹129.8,54,0
Kottayam,VelvetViewCinemasKumarakom,Malayalam,10:00,Platinum,₹250,14,0
Kottayam,VelvetViewCinemasKumarakom,Malayalam,10:00,Gold,₹150,96,6
Kottayam,VelvetViewCinemasKumarakom,Malayalam,10:00,Silver,₹100,28,0
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Malayalam,10:30,Executive,₹129.7,175,6
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,10:30,Recliner,₹450,23,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,10:30,Premium,₹220,88,4
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,10:30,Executive,₹170,17,10
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,10:30,Lounger,₹250,14,0
Trivandrum,StarCinemaDolby7Point1Varkala,Malayalam,10:30,SpecialClass,₹140,236,0
Kannur,ArchanaCineplexRGBLaser4K3DATMOSPayyanur,Malayalam,10:30,Standard,₹129.7,131,60
Kasaragod,VGMMultiplexAC2K7Point1Dolby,Malayalam,10:30,VgmGreen,₹170,160,29
Kannur,MagicFramesDowntownMallThalassery,Malayalam,10:30,Platinum,₹300,11,0
Kannur,MagicFramesDowntownMallThalassery,Malayalam,10:30,Gold,₹180,135,10
Kannur,AlinkeelCinemas2KAtmos7Point1Taliparamba,Malayalam,10:45,Reserved,₹129.8,190,6
Alappuzha,CherthalaKairaliSreeTheatre,Malayalam,11:00,Platinum,₹125,388,0
Kollam,SeemaCineplexPathanapuram,Malayalam,11:00,Audi3,₹140,136,11
Palakkad,VrindavanTheatreKozhinjampara,Malayalam,11:00,FirstClass,₹110,189,0
Ernakulam,PVRForumMallKochi,Malayalam,11:05,Elite,₹180,85,0
Ernakulam,PVRForumMallKochi,Malayalam,11:05,Classic,₹160,22,0
Kollam,DevaCarnivalCinemasDMallPunalur,Malayalam,11:05,Sofa,₹200,11,0
Kollam,DevaCarnivalCinemasDMallPunalur,Malayalam,11:05,Silver,₹129.7,147,9
Palakkad,JayabharathTheatreVadakkencherry,Malayalam,11:30,FirstClass,₹120,175,88
Palakkad,AvishkarCinemasDolbyAtmosKottayi,Malayalam,11:30,Executive,₹180,12,0
Palakkad,AvishkarCinemasDolbyAtmosKottayi,Malayalam,11:30,Standard,₹150,91,10
Idukki,SILVERHILLSCINEMAS4KLaser3DDOLBY7Point1,Malayalam,11:45,Silver,₹160,80,0
Trivandrum,PVRLuluTrivandrum,Malayalam,13:10,Recliner,₹400,8,5
Trivandrum,PVRLuluTrivandrum,Malayalam,13:10,Prime,₹210,34,19
Trivandrum,PVRLuluTrivandrum,Malayalam,13:10,Classic,₹190,65,6
Palakkad,JayabharathTheatreVadakkencherry,Malayalam,14:30,FirstClass,₹120,175,88
Kollam,SeemaCineplexPathanapuram,Malayalam,14:30,Audi3,₹140,136,10
Trivandrum,LeninCinemas4K3DDolbyAtmosKSFDCTrivandrum,Malayalam,15:00,Platinum,₹150,22,0
Trivandrum,LeninCinemas4K3DDolbyAtmosKSFDCTrivandrum,Malayalam,15:00,Gold,₹129,144,6
Palakkad,MagicFramesCinemasPattambi,Malayalam,15:10,Gold,₹150,169,31
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Malayalam,16:30,Executive,₹129.7,175,18
Kasaragod,KaveriCinemasACDTSDolbyKarmamthody,Malayalam,16:30,Standard,₹110,145,5
Trivandrum,GreenfieldMoviemaxCinemasTrivandrum,Malayalam,16:30,Executive,₹160,132,6
Palakkad,BalaCinemasDolbyAtmosLaserTrippleBeam3D,Malayalam,16:30,Platinum,₹160,14,0
Palakkad,BalaCinemasDolbyAtmosLaserTrippleBeam3D,Malayalam,16:30,Gold,₹110,133,0
Kannur,ArchanaCineplexRGBLaser4K3DATMOSPayyanur,Malayalam,16:30,Standard,₹129.7,125,59
Malappuram,LadderCinemasIndianMall,Malayalam,10:00,Executive,₹150,74,8
Ernakulam,STCinemasGoldenMallMattoor,Malayalam,10:45,Premium,₹150,141,8
Trivandrum,AriesplexSLCinemasCinionicDolbyAtmosTrivandrum,Malayalam,11:30,Executive,₹110,70,0
Kasaragod,PakkanarCinemas2K3D7Point1JBLCheruvathur,Malayalam,12:30,Executive,₹100,322,10
Kozhikode,CrownTheatreDolbyAtmosTownHallRoadCalicut,Malayalam,14:10,Audi2,₹160,148,34
Palakkad,LadderCinemasLakkidiOttapalam,Malayalam,16:15,Executive,₹150,214,0
