City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:05,Normal,₹150,19,2
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:05,Executive,₹170,43,3
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,09:05,Premium,₹190,44,10
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:35,Normal,₹200,27,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:35,Executive,₹240,74,10
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:35,Premium,₹240,41,9
Kannur,LibertyParadiseThalassery,Malayalam,11:30,Paradise,₹129.8,354,281
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,12:05,Normal,₹150,13,0
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,12:05,Executive,₹170,26,3
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,12:05,Premium,₹190,67,28
Thrissur,INOXSobhaCityMall,Malayalam,12:40,RoyalRecliner,₹310,10,4
Thrissur,INOXSobhaCityMall,Malayalam,12:40,Club,₹210,63,21
Thrissur,INOXSobhaCityMall,Malayalam,12:40,Royal,₹210,28,21
Thrissur,INOXSobhaCityMall,Malayalam,12:40,Executive,₹130,22,0
Idukki,DreamCinemasThodupuzha,Malayalam,14:00,Red,₹150,184,6
Kannur,LibertyParadiseThalassery,Malayalam,14:45,Paradise,₹129.8,354,291
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,15:00,Normal,₹150,19,2
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,15:00,Executive,₹170,43,19
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,15:00,Premium,₹190,44,35
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,16:05,Normal,₹200,27,7
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,16:05,Executive,₹240,74,9
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,16:05,Premium,₹240,41,6
Ernakulam,PVROberonMallKochi,Malayalam,16:25,ClassicPlus,₹170,81,28
Ernakulam,PVROberonMallKochi,Malayalam,16:25,Classic,₹150,36,0
Ernakulam,PVRLuluKochi,Malayalam,16:35,Recliner,₹400,9,4
Ernakulam,PVRLuluKochi,Malayalam,16:35,Prime,₹210,64,39
Ernakulam,PVRLuluKochi,Malayalam,16:35,ClassicPlus,₹180,91,19
Ernakulam,PVRLuluKochi,Malayalam,16:35,Classic,₹160,39,0
Ernakulam,LakshmiCinemasCantonMallMuvattupuzha,Malayalam,17:00,Gold,₹150,121,12
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,17:30,Recliner,₹450,23,5
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,17:30,Premium,₹220,88,26
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,17:30,Executive,₹150,17,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,17:30,Lounger,₹250,14,2
Kannur,LibertyParadiseThalassery,Malayalam,18:00,Paradise,₹129.8,354,283
Idukki,SILVERHILLSCINEMAS4KLaser3DDOLBY7Point1,Malayalam,18:30,Silver,₹130,80,0
Trivandrum,PVRLuluTrivandrum,Malayalam,18:45,Recliner,₹500,7,5
Trivandrum,PVRLuluTrivandrum,Malayalam,18:45,Prime,₹240,68,24
Trivandrum,PVRLuluTrivandrum,Malayalam,18:45,Classic,₹210,104,26
Idukki,DreamCinemasThodupuzha,Malayalam,19:00,Red,₹150,184,0
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,19:45,Normal,₹200,38,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,19:45,Executive,₹240,65,7
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,19:45,Premium,₹240,56,15
Idukki,SILVERHILLSCINEMAS4KLaser3DDOLBY7Point1,Malayalam,21:30,Silver,₹130,80,0
Kannur,LibertyParadiseThalassery,Malayalam,21:30,Paradise,₹129.8,354,279
Trivandrum,PVRLuluTrivandrum,Malayalam,22:00,Recliner,₹500,8,8
Trivandrum,PVRLuluTrivandrum,Malayalam,22:00,Prime,₹260,34,29
Trivandrum,PVRLuluTrivandrum,Malayalam,22:00,Classic,₹240,65,23
Ernakulam,PVRForumMallKochi,Malayalam,22:30,Elite,₹230,85,51
Ernakulam,PVRForumMallKochi,Malayalam,22:30,Classic,₹180,22,0
Trivandrum,AriesplexSLCinemasCinionicDolbyAtmosTrivandrum,Malayalam,16:45,Executive,₹110,70,0
Thrissur,SurabhiMovies4K3DSouthJunctionChalakudy,Malayalam,22:05,Box,₹139,20,20
Thrissur,SurabhiMovies4K3DSouthJunctionChalakudy,Malayalam,22:05,Gold,₹129,295,43
