City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Trivandrum,CinepolisMOTTrivandrum,Hindi,13:55,VipExecutive,₹300,18,0
Trivandrum,CinepolisMOTTrivandrum,Hindi,13:55,VipPremium,₹300,18,5
Ernakulam,ShenoysKochi,Hindi,14:10,Lounge,₹330,26,26
Ernakulam,ShenoysKochi,Hindi,14:10,Diamond,₹220,88,88
Trivandrum,PVRLuluTrivandrum,Hindi,19:05,Recliner,₹400,7,0
Trivandrum,PVRLuluTrivandrum,Hindi,19:05,Prime,₹240,51,10
Trivandrum,PVRLuluTrivandrum,Hindi,19:05,Classic,₹180,70,0
Ernakulam,PVRForumMallKochi,Hindi,19:15,Recliner,₹500,8,6
Ernakulam,PVRForumMallKochi,Hindi,19:15,Elite,₹200,125,16
Ernakulam,PVRForumMallKochi,Hindi,19:15,Classic,₹180,14,0
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,19:30,Normal,₹150,30,10
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,19:30,Executive,₹170,45,2
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,19:30,Premium,₹200,96,15
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Hindi,21:30,Recliner,₹450,23,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Hindi,21:30,Premium,₹220,88,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Hindi,21:30,Executive,₹150,17,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Hindi,21:30,Lounger,₹250,14,0
Thrissur,INOXSobhaCityMall,Hindi,22:05,RoyalRecliner,₹360,10,0
Thrissur,INOXSobhaCityMall,Hindi,22:05,Club,₹200,155,2
Thrissur,INOXSobhaCityMall,Hindi,22:05,Royal,₹200,32,6
Thrissur,INOXSobhaCityMall,Hindi,22:05,Executive,₹140,26,2
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Hindi,22:30,Recliner,₹450,29,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Hindi,22:30,Premium,₹220,135,13
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Hindi,22:30,Executive,₹150,27,1
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Hindi,22:30,Lounger,₹250,24,1
