City,Time(IST),Name,Area,Price,Capacity,Booked,Language,Format
Thrissur,10:00,PalaxiCinemasHiliteMallThrissur,Recliner,₹450,27,1,Hindi,2D
Thrissur,10:00,PalaxiCinemasHiliteMallThrissur,Premium,₹220,133,11,Hindi,2D
Thrissur,10:00,PalaxiCinemasHiliteMallThrissur,Executive,₹140,23,0,Hindi,2D
Kozhikode,10:15,PalaxiCinemasHiLITEMALLKozhikode,Recliner,₹470,27,0,Hindi,2D
Kozhikode,10:15,PalaxiCinemasHiLITEMALLKozhikode,Premium,₹240,146,10,Hindi,2D
Kozhikode,10:15,PalaxiCinemasHiLITEMALLKozhikode,Executive,₹180,25,0,Hindi,2D
Kozhikode,10:15,PalaxiCinemasHiLITEMALLKozhikode,Lounger,₹270,22,0,Hindi,2D
Kozhikode,10:45,PalaxiCinemasHiLITEMALLKozhikode,Recliner,₹470,29,1,Hindi,2D
Kozhikode,10:45,PalaxiCinemasHiLITEMALLKozhikode,Premium,₹240,135,1,Hindi,2D
Kozhikode,10:45,PalaxiCinemasHiLITEMALLKozhikode,Executive,₹180,27,1,Hindi,2D
Kozhikode,10:45,PalaxiCinemasHiLITEMALLKozhikode,Lounger,₹270,24,1,Hindi,2D
Kottayam,11:00,AnupamaTheatreDolby71Kottayam,Kings,₹140,149,7,Hindi,2D
Kottayam,11:00,AnupamaTheatreDolby71Kottayam,Prince,₹105,473,0,Hindi,2D
Kottayam,14:00,AnupamaTheatreDolby71Kottayam,Kings,₹140,149,0,Hindi,2D
Kottayam,14:00,AnupamaTheatreDolby71Kottayam,Prince,₹105,473,1,Hindi,2D
Thrissur,16:00,PalaxiCinemasHiliteMallThrissur,Recliner,₹450,27,3,Hindi,2D
Thrissur,16:00,PalaxiCinemasHiliteMallThrissur,Premium,₹220,133,21,Hindi,2D
Thrissur,16:00,PalaxiCinemasHiliteMallThrissur,Executive,₹140,23,2,Hindi,2D
Kottayam,18:00,AnupamaTheatreDolby71Kottayam,Kings,₹140,149,1,Hindi,2D
Kottayam,18:00,AnupamaTheatreDolby71Kottayam,Prince,₹105,473,2,Hindi,2D
