City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,PvrForumMallKochi,English,09:45,Elite,₹170,85,2
Ernakulam,PvrForumMallKochi,English,09:45,Classic,₹150,22,0
Ernakulam,PvrLuluKochi,English,09:50,Recliner,₹350,9,0
Ernakulam,PvrLuluKochi,English,09:50,Prime,₹200,64,13
Ernakulam,PvrLuluKochi,English,09:50,ClassicPlus,₹160,91,15
Ernakulam,PvrLuluKochi,English,09:50,Classic,₹140,39,1
Trivandrum,PvrLuluTrivandrum,English,11:10,Recliner,₹350,8,2
Trivandrum,PvrLuluTrivandrum,English,11:10,Prime,₹190,34,19
Trivandrum,PvrLuluTrivandrum,English,11:10,Classic,₹170,65,41
Trivandrum,PvrLuluTrivandrum,English,12:40,LuxePrime,₹450,18,9
Trivandrum,PvrLuluTrivandrum,English,12:40,Luxe,₹350,24,13
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,13:00,Recliner,₹450,23,11
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,13:00,Premium,₹220,88,54
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,13:00,Executive,₹150,17,10
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,13:00,Lounger,₹250,14,0
Ernakulam,CinepolisCentreSquareMallKochi,English,13:15,Normal,₹140,13,0
Ernakulam,CinepolisCentreSquareMallKochi,English,13:15,Executive,₹160,26,12
Ernakulam,CinepolisCentreSquareMallKochi,English,13:15,Premium,₹180,67,31
Ernakulam,PvrLuluKochi,English,13:35,Recliner,₹450,9,6
Ernakulam,PvrLuluKochi,English,13:35,Prime,₹220,64,36
Ernakulam,PvrLuluKochi,English,13:35,ClassicPlus,₹200,91,43
Ernakulam,PvrLuluKochi,English,13:35,Classic,₹140,39,6
Ernakulam,PvrForumMallKochi,English,13:35,LuxePrime,₹450,42,8
Ernakulam,PvrForumMallKochi,English,13:35,Luxe,₹350,16,0
Trivandrum,CinepolisMotTrivandrum,English,13:45,PlatinumExecutive,₹150,32,20
Trivandrum,CinepolisMotTrivandrum,English,13:45,PlatinumPremium,₹150,33,23
Thrissur,InoxSobhaCityMall,English,16:35,RoyalRecliner,₹350,10,5
Thrissur,InoxSobhaCityMall,English,16:35,Club,₹190,66,9
Thrissur,InoxSobhaCityMall,English,16:35,Royal,₹190,28,24
Thrissur,InoxSobhaCityMall,English,16:35,Executive,₹130,22,0
Ernakulam,PvrLuluKochi,English,19:15,Recliner,₹550,54,16
Trivandrum,CinepolisMotTrivandrum,English,19:20,PlatinumExecutive,₹150,32,2
Trivandrum,CinepolisMotTrivandrum,English,19:20,PlatinumPremium,₹150,33,8
Ernakulam,CinepolisCentreSquareMallKochi,English,19:55,Normal,₹140,13,0
Ernakulam,CinepolisCentreSquareMallKochi,English,19:55,Executive,₹160,26,10
Ernakulam,CinepolisCentreSquareMallKochi,English,19:55,Premium,₹180,67,49
Trivandrum,PvrLuluTrivandrum,English,20:05,Recliner,₹350,8,3
Trivandrum,PvrLuluTrivandrum,English,20:05,Prime,₹190,34,8
Trivandrum,PvrLuluTrivandrum,English,20:05,Classic,₹170,65,14
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,21:00,Recliner,₹450,23,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,21:00,Premium,₹220,88,13
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,21:00,Executive,₹150,17,3
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,21:00,Lounger,₹250,14,0
Trivandrum,PvrLuluTrivandrum,English,21:30,LuxePrime,₹400,18,7
Trivandrum,PvrLuluTrivandrum,English,21:30,Luxe,₹300,24,1
Ernakulam,PvrForumMallKochi,English,22:05,Elite,₹200,85,37
Ernakulam,PvrForumMallKochi,English,22:05,Classic,₹170,22,0
