City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,PVRForumMallKochi,Tamil,09:50,Elite,₹200,85,11
Ernakulam,PVRForumMallKochi,Tamil,09:50,Classic,₹180,22,0
Ernakulam,CinepolisCentreSquareKochi,Tamil,10:00,Normal,₹190,13,0
Ernakulam,CinepolisCentreSquareKochi,Tamil,10:00,Executive,₹200,26,0
Ernakulam,CinepolisCentreSquareKochi,Tamil,10:00,Premium,₹210,67,10
Kannur,ArchanaCineplexRGBLaser4K3DATMOSPayyanur,Tamil,10:30,Standard,₹129.7,131,0
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Tamil,10:30,Executive,₹129.7,175,0
Trivandrum,CinepolisMOTTrivandrum,Tamil,10:50,VipExecutive,₹300,18,2
Trivandrum,CinepolisMOTTrivandrum,Tamil,10:50,VipPremium,₹300,18,7
Trivandrum,IMPBigScreen2K3DDolbyAtmos,Tamil,11:00,UniqueCircle,₹130,370,2
Kozhikode,RegalCinemasKozhikode,Tamil,11:00,FirstclassSc2,₹200,165,0
Kollam,DevaCarnivalCinemasDMallPunalur,Tamil,11:00,Sofa,₹200,11,0
Kollam,DevaCarnivalCinemasDMallPunalur,Tamil,11:00,Silver,₹129.7,147,9
Kottayam,ApsaraTheatreDolby7Point1Changanassery,Tamil,11:00,KingsLounge,₹112,115,0
Kottayam,ApsaraTheatreDolby7Point1Changanassery,Tamil,11:00,RoyalLounge,₹140,160,0
Kottayam,ApsaraTheatreDolby7Point1Changanassery,Tamil,11:00,PrinceLounge,₹100,268,0
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,11:00,RoyalCircle,₹150,177,12
Kottayam,AnupamaTheatreDolby7Point1Kottayam,Tamil,11:00,Kings,₹140,149,0
Kottayam,AnupamaTheatreDolby7Point1Kottayam,Tamil,11:00,Prince,₹110,473,1
Trivandrum,SAMultiplex4K3DDolbyAtmosPulluvila,Tamil,11:00,Platinum,₹250,20,0
Trivandrum,SAMultiplex4K3DDolbyAtmosPulluvila,Tamil,11:00,Gold,₹150,114,0
Palakkad,CowmalyaTheatreKozhinjampara,Tamil,11:00,Gold,₹129.8,477,29
Kollam,GmaxCinemasJerome3D7Point1JBLKollam,Tamil,11:15,Blue,₹160,170,2
Trivandrum,ArtechCinemasTrivandrum,Tamil,11:15,Gold,₹350,13,1
Trivandrum,ArtechCinemasTrivandrum,Tamil,11:15,Platinum,₹190,80,0
Trivandrum,ArtechCinemasTrivandrum,Tamil,11:15,Silver,₹170,84,0
Palakkad,KrishnaCineplex4KRGBLaser3DDolbyAtmos,Tamil,11:15,SunCircle,₹200,34,0
Palakkad,KrishnaCineplex4KRGBLaser3DDolbyAtmos,Tamil,11:15,MoonCircle,₹130,302,0
Palakkad,NewAromaTheatrePalakkad,Tamil,11:15,PlatinumCircle,₹129.8,200,6
Palakkad,NewAromaTheatrePalakkad,Tamil,11:15,DiamondCircle,₹110,229,4
Trivandrum,ThapasyaCineHouseAttingal,Tamil,11:30,Circle,₹130,436,14
Palakkad,KRVMoviesKottayi,Tamil,11:30,FirstClass,₹129.8,125,1
Trivandrum,LeninCinemas4K3DDolbyAtmosKSFDCTrivandrum,Tamil,11:30,Platinum,₹150,22,0
Trivandrum,LeninCinemas4K3DDolbyAtmosKSFDCTrivandrum,Tamil,11:30,Gold,₹129,144,0
Palakkad,DreambigThankamVadakkencherry,Tamil,11:30,KingsChamber,₹180,41,30
Palakkad,DreambigThankamVadakkencherry,Tamil,11:30,Gold,₹129,323,312
Ernakulam,SavitaCinemaKochi,Tamil,12:00,Deluxe,₹160,555,38
