City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:15,Recliner,₹300,29,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:15,Premium,₹150,135,3
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:15,Executive,₹100,27,3
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,Malayalam,10:15,Lounger,₹180,24,1
Kannur,MagicFramesDowntownMallThalassery,Malayalam,11:00,Gold3D,₹170,135,0
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,11:15,Normal,₹140,20,3
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,11:15,Executive,₹180,43,6
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,11:15,Premium,₹200,44,3
Ernakulam,PvrOberonMallKochi,Malayalam,12:40,ClassicPlus,₹175,141,12
Ernakulam,PvrOberonMallKochi,Malayalam,12:40,Classic,₹165,36,1
Ernakulam,PvrForumMallKochi,Malayalam,12:45,Recliner,₹380,10,0
Ernakulam,PvrForumMallKochi,Malayalam,12:45,Elite,₹210,111,35
Ernakulam,PvrForumMallKochi,Malayalam,12:45,Classic,₹190,24,0
Trivandrum,PvrLuluTrivandrum,Malayalam,12:45,Recliner,₹330,11,5
Trivandrum,PvrLuluTrivandrum,Malayalam,12:45,Prime,₹200,120,23
Trivandrum,PvrLuluTrivandrum,Malayalam,12:45,Classic,₹180,119,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,13:00,Normal,₹180,34,0
Trivandrum,CinepolisMotTrivandrum,Malayalam,13:00,Executive,₹200,85,10
Trivandrum,CinepolisMotTrivandrum,Malayalam,13:00,PlatinumPremium,₹280,50,12
Kannur,ShanthiCinemasPayyanur,Malayalam,13:15,Platinum,₹130,443,1
Kozhikode,MagicFramesCinemas4KDolbyAtmosKunnamangalam,Malayalam,13:15,Gold,₹180,390,0
Kannur,ArchanaCineplexRgbLaser4K3DAtmosPayyanur,Malayalam,13:30,Standard,₹129.7,196,0
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,13:40,Normal,₹200,38,6
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,13:40,Executive,₹220,69,7
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,13:40,Premium,₹220,56,6
Kozhikode,AshokCnc4KDolbyAtmosTrippleBeam3DVadakara,Malayalam,13:45,Platinum3D,₹159.8,120,0
Trivandrum,NewTheatre4KRgbLaserDolbyAtmosTrivandrum,Malayalam,14:30,Elite,₹150,173,7
Thrissur,InoxSobhaCityMall,Malayalam,14:40,RoyalRecliner,₹320,10,6
Thrissur,InoxSobhaCityMall,Malayalam,14:40,Club,₹200,155,19
Thrissur,InoxSobhaCityMall,Malayalam,14:40,Royal,₹200,32,26
Thrissur,InoxSobhaCityMall,Malayalam,14:40,Executive,₹160,26,0
Ernakulam,DharsanaCinemaComplexPiravom,Malayalam,15:00,Platinum,₹160,74,0
Ernakulam,DharsanaCinemaComplexPiravom,Malayalam,15:00,Gold,₹140,88,0
Ernakulam,DharsanaCinemaComplexPiravom,Malayalam,15:00,Silver,₹80,22,0
Trivandrum,PvrLuluTrivandrum,Tamil,15:25,Recliner,₹330,9,5
Trivandrum,PvrLuluTrivandrum,Tamil,15:25,Prime,₹200,76,19
Trivandrum,PvrLuluTrivandrum,Tamil,15:25,Classic,₹180,105,0
Trivandrum,PvrLuluTrivandrum,Malayalam,15:25,Recliner,₹380,9,6
Trivandrum,PvrLuluTrivandrum,Malayalam,15:25,Prime,₹200,76,34
Trivandrum,PvrLuluTrivandrum,Malayalam,15:25,Classic,₹180,105,15
Thrissur,ChandVsreeramaMoviesPudukkad,Malayalam,15:30,Platinum,₹180,108,0
Thrissur,ChandVsreeramaMoviesPudukkad,Malayalam,15:30,Gold,₹129,"1,164",0
Trivandrum,PvrKripaThampanoorTrivandrum,Malayalam,15:40,Prime,₹185,16,0
Trivandrum,PvrKripaThampanoorTrivandrum,Malayalam,15:40,Classic,₹165,196,27
Ernakulam,PvrLuluKochi,Malayalam,15:55,Recliner,₹270,13,6
Ernakulam,PvrLuluKochi,Malayalam,15:55,Prime,₹190,92,41
Ernakulam,PvrLuluKochi,Malayalam,15:55,ClassicPlus,₹170,126,32
Ernakulam,PvrLuluKochi,Malayalam,15:55,Classic,₹120,54,0
Kannur,ShanthiCinemasPayyanur,Malayalam,16:30,Platinum,₹130,443,3
Kozhikode,RegalCinemasKozhikode,Malayalam,16:30,FirstclassSc2,₹240,165,13
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,16:35,Normal,₹140,13,0
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,16:35,Executive,₹160,26,0
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,16:35,Premium,₹180,67,13
Trivandrum,NewTheatre4KRgbLaserDolbyAtmosTrivandrum,Malayalam,18:00,Elite,₹150,173,15
Trivandrum,RaniTalkies4KDolbyAtmosNedumangadu,Malayalam,18:00,Gold3D,₹160,112,2
Thrissur,InoxSobhaCityMall,Malayalam,18:25,RoyalRecliner,₹320,10,0
