City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Trivandrum,CinepolisMotTrivandrum,Hindi,10:30,VipExecutive,₹300,18,0
Trivandrum,CinepolisMotTrivandrum,Hindi,10:30,VipPremium,₹300,18,3
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,11:10,Normal,₹99,26,26
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,11:10,Executive,₹99,39,39
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,11:10,Premium,₹99,86,86
Ernakulam,ShenoysKochi,Hindi,12:00,Diamond,₹220,71,0
Trivandrum,AriesplexSlCinemasCinionicDolbyAtmosTrivandrum,Hindi,14:45,Executive,₹110,210,2
Trivandrum,CinepolisMotTrivandrum,Hindi,16:05,VipExecutive,₹300,18,1
Trivandrum,CinepolisMotTrivandrum,Hindi,16:05,VipPremium,₹300,18,11
Kannur,ArchanaCineplexRgbLaser4K3DAtmosPayyanur,Hindi,16:30,Standard,₹129.7,125,0
Ernakulam,PvrForumMallKochi,Hindi,17:55,Recliner,₹199,8,4
Ernakulam,PvrForumMallKochi,Hindi,17:55,Classic,₹99,14,0
Ernakulam,PvrForumMallKochi,Hindi,17:55,Elite,₹99,125,42
Kozhikode,CinepolisGokulamGalleriaMall,Hindi,18:00,Normal,₹99,29,4
Kozhikode,CinepolisGokulamGalleriaMall,Hindi,18:00,Executive,₹99,83,6
Kozhikode,CinepolisGokulamGalleriaMall,Hindi,18:00,Premium,₹99,44,8
Trivandrum,CinepolisMotTrivandrum,Hindi,19:15,Normal,₹100,36,0
Trivandrum,CinepolisMotTrivandrum,Hindi,19:15,Executive,₹100,90,0
Trivandrum,CinepolisMotTrivandrum,Hindi,19:15,Premium,₹100,67,17
Ernakulam,PvrLuluKochi,Hindi,20:05,Recliner,₹199,10,0
Ernakulam,PvrLuluKochi,Hindi,20:05,Classic,₹99,39,0
Ernakulam,PvrLuluKochi,Hindi,20:05,ClassicPlus,₹99,91,0
Ernakulam,PvrLuluKochi,Hindi,20:05,Prime,₹99,68,17
Trivandrum,PvrLuluTrivandrum,Hindi,22:15,Recliner,₹199,8,8
Trivandrum,PvrLuluTrivandrum,Hindi,22:15,Classic,₹99,60,37
Trivandrum,PvrLuluTrivandrum,Hindi,22:15,Prime,₹99,39,36
Ernakulam,PvrLuluKochi,Hindi,22:30,Recliner,₹199,10,8
Ernakulam,PvrLuluKochi,Hindi,22:30,Classic,₹99,39,0
Ernakulam,PvrLuluKochi,Hindi,22:30,ClassicPlus,₹99,91,72
Ernakulam,PvrLuluKochi,Hindi,22:30,Prime,₹99,68,63
Kozhikode,CinepolisGokulamGalleriaMall,Hindi,22:55,Normal,₹99,27,4
Kozhikode,CinepolisGokulamGalleriaMall,Hindi,22:55,Executive,₹99,78,24
Kozhikode,CinepolisGokulamGalleriaMall,Hindi,22:55,Premium,₹99,41,12
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,23:30,Normal,₹99,26,3
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,23:30,Executive,₹99,39,0
Ernakulam,CinepolisCentreSquareMallKochi,Hindi,23:30,Premium,₹99,86,57
