City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,CinepolisCentreSquareMallKochi,English,12:50,Normal,₹400,13,3
Ernakulam,CinepolisCentreSquareMallKochi,English,12:50,Executive,₹450,54,0
Ernakulam,CinepolisCentreSquareMallKochi,English,12:50,Premium,₹500,162,37
Trivandrum,PVRLuluTrivandrum,English,16:25,Recliner,₹750,16,10
Trivandrum,PVRLuluTrivandrum,English,16:25,PicturePerfect,₹410,65,37
Trivandrum,PVRLuluTrivandrum,English,16:25,Prime,₹360,82,17
Trivandrum,PVRLuluTrivandrum,English,16:25,Classic,₹310,112,23
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,English,17:45,Recliner,₹450,23,2
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,English,17:45,Premium,₹220,88,20
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,English,17:45,Executive,₹150,17,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,English,17:45,Lounger,₹250,14,4
Thrissur,INOXSobhaCityMall,English,19:15,RoyalRecliner,₹290,10,3
Thrissur,INOXSobhaCityMall,English,19:15,Club,₹170,63,0
Thrissur,INOXSobhaCityMall,English,19:15,Royal,₹170,28,12
Thrissur,INOXSobhaCityMall,English,19:15,Executive,₹130,22,0
Ernakulam,PVRLuluKochi,English,19:50,Recliner,₹350,10,0
Ernakulam,PVRLuluKochi,English,19:50,Prime,₹200,68,36
Ernakulam,PVRLuluKochi,English,19:50,ClassicPlus,₹180,91,22
Ernakulam,PVRLuluKochi,English,19:50,Classic,₹160,39,0
Ernakulam,PVRForumMallKochi,English,22:00,Recliner,₹400,8,5
Ernakulam,PVRForumMallKochi,English,22:00,Elite,₹180,125,28
Ernakulam,PVRForumMallKochi,English,22:00,Classic,₹160,14,1
