City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Trivandrum,PVRKripaThampanoorTrivandrum,Malayalam,09:05,Classic,₹160,325,46
Kottayam,AnuAbhinayaCineplex4KDolby7Point1Changanassery,Malayalam,09:15,Lounge,₹160,199,21
Kottayam,AnuAbhinayaCineplex4KDolby7Point1Changanassery,Malayalam,09:15,Club,₹110,26,0
Kottayam,AnuAbhinayaCineplex4KDolby7Point1Changanassery,Malayalam,09:15,Prime,₹140,387,32
Kollam,JBCinemas4K3DNallila,Malayalam,09:30,Blue,₹129.83,242,34
Trivandrum,DreamsAttingal,Malayalam,09:30,Recliner,₹350,15,7
Trivandrum,DreamsAttingal,Malayalam,09:30,Sofa,₹200,120,66
Ernakulam,PVRForumMallKochi,Malayalam,09:30,LuxePrime,₹550,42,5
Ernakulam,PVRForumMallKochi,Malayalam,09:30,Luxe,₹450,16,0
Alappuzha,SanthoshVallakaliCineComplex,Malayalam,09:45,KingCircle,₹110,256,58
Trivandrum,PVRLuluTrivandrum,Malayalam,09:50,Recliner,₹550,11,4
Trivandrum,PVRLuluTrivandrum,Malayalam,09:50,Prime,₹250,120,21
Trivandrum,PVRLuluTrivandrum,Malayalam,09:50,Classic,₹190,119,12
Kollam,ThaiLakshmiCinemaPunalur,Malayalam,10:00,Recliner,₹300,16,0
Kollam,ThaiLakshmiCinemaPunalur,Malayalam,10:00,Sofa,₹200,34,2
Kollam,ThaiLakshmiCinemaPunalur,Malayalam,10:00,Premium,₹130,286,29
Thrissur,CityShivadamRGB4KLaser3DKodakara,Malayalam,10:00,GoldPlus,₹170,13,1
Thrissur,CityShivadamRGB4KLaser3DKodakara,Malayalam,10:00,Gold,₹150,188,2
Ernakulam,CentralTalkiesRGBLaser4K3DDolbyAtmos,Malayalam,10:00,Platinum,₹240,37,29
Ernakulam,CentralTalkiesRGBLaser4K3DDolbyAtmos,Malayalam,10:00,Gold,₹180,264,147
Alappuzha,AECCinemasAlappuzha,Malayalam,10:00,Platinum,₹250,31,8
Alappuzha,AECCinemasAlappuzha,Malayalam,10:00,Gold,₹180,195,21
Alappuzha,AECCinemasAlappuzha,Malayalam,10:00,Silver,₹150,95,1
Alappuzha,RaibanCineHouseAlleppey,Malayalam,10:00,Balcony,₹160,211,13
Alappuzha,RaibanCineHouseAlleppey,Malayalam,10:00,Executive,₹145,73,15
Alappuzha,RaibanCineHouseAlleppey,Malayalam,10:00,FirstClass,₹129.01,313,26
Ernakulam,ShafazLaserGrand4KTheatreNorthParavoor,Malayalam,10:00,PremiumSofa,₹220,21,0
Ernakulam,ShafazLaserGrand4KTheatreNorthParavoor,Malayalam,10:00,PearlCircle,₹120,314,19
Kollam,ParthaMovieHouses4KATMOS,Malayalam,10:00,Platinum,₹220,33,0
Kollam,ParthaMovieHouses4KATMOS,Malayalam,10:00,Gold,₹150,287,57
Ernakulam,MYCinemasKSRTComplexAngamalyKerala,Malayalam,10:00,Platinum,₹160,109,36
Ernakulam,MYCinemasKSRTComplexAngamalyKerala,Malayalam,10:00,Gold,₹150,188,11
Kollam,AashirvadCineplexxKottiyam,Malayalam,10:00,Recliner,₹350,18,3
Kollam,AashirvadCineplexxKottiyam,Malayalam,10:00,Platinum,₹210,81,44
Kollam,AashirvadCineplexxKottiyam,Malayalam,10:00,Gold,₹180,78,31
Ernakulam,CasinoTalkiesAC2K3DDOLBYSURROUND7Point1Aluva,Malayalam,10:00,Daimond,₹150,442,49
Ernakulam,MYCinemasRedCarpetKariyad,Malayalam,10:00,GoldLounge,₹350,32,15
Ernakulam,MYCinemasRedCarpetKariyad,Malayalam,10:00,ExecutiveOffline,₹190,96,12
Ernakulam,ShenoysKochi,Malayalam,10:00,Lounge,₹330,34,14
Ernakulam,ShenoysKochi,Malayalam,10:00,Diamond,₹220,200,81
Thrissur,ShadowCinemasPazhayannur,Malayalam,10:00,Platinum,₹200,15,1
Thrissur,ShadowCinemasPazhayannur,Malayalam,10:00,Gold,₹140,228,7
Kollam,MYCinemasHJComplexKarunagapally,Malayalam,10:00,Classic,₹170,194,41
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,10:00,Recliner,₹450,55,8
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,10:00,Premium,₹220,169,29
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,10:00,Executive,₹170,75,12
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,10:00,Lounger,₹250,32,5
Ernakulam,KCinemas4KDolbyAtmosTripplebeam3DCherai,Malayalam,10:00,Platinum,₹230,42,0
Ernakulam,KCinemas4KDolbyAtmosTripplebeam3DCherai,Malayalam,10:00,Gold,₹150,317,20
Ernakulam,JMAX2K3DDolby7Point1PATTIMATTOM,Malayalam,10:00,Platinum,₹190,90,8
Ernakulam,JMAX2K3DDolby7Point1PATTIMATTOM,Malayalam,10:00,Gold,₹170,126,98
Ernakulam,JMAX2K3DDolby7Point1PATTIMATTOM,Malayalam,10:00,Silver,₹150,18,0
Ernakulam,ShafazLaserGrand4KTheatreNorthParavoor,Malayalam,10:00,PremiumSofa,₹220,21,7
Ernakulam,ShafazLaserGrand4KTheatreNorthParavoor,Malayalam,10:00,PearlCircle,₹120,314,66
Kannur,AlakodeFilmCity4KDolbyAtmos,Malayalam,10:00,Nakshatra,₹160,212,30
Kozhikode,ChithraCineplex4KRGBLaserDtsXMannurValavu,Malayalam,10:00,Sofa,₹200,21,4
Kozhikode,ChithraCineplex4KRGBLaserDtsXMannurValavu,Malayalam,10:00,Gold,₹129.8,220,19
Thrissur,MasMoviesIrinjalakuda,Malayalam,10:00,Royal,₹220,21,0
Thrissur,MasMoviesIrinjalakuda,Malayalam,10:00,Gold,₹129,351,57
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Normal,₹220,38,2
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Executive,₹240,65,6
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Premium,₹260,57,19
Idukki,AashirvadCineplexxThodupuzha,Malayalam,10:10,Gold,₹200,59,13
Idukki,AashirvadCineplexxThodupuzha,Malayalam,10:10,Silver,₹165,243,38
Thrissur,ShivadhamCinemasUrakamThrissur,Malayalam,10:10,Platinum,₹260,22,0
Thrissur,ShivadhamCinemasUrakamThrissur,Malayalam,10:10,Gold,₹150,168,29
Thrissur,ShivadhamCinemasUrakamThrissur,Malayalam,10:10,Silver,₹129,60,1
Ernakulam,FourStarMoviesManjapraAngamaly,Malayalam,10:15,Platinum,₹170,16,2
Ernakulam,FourStarMoviesManjapraAngamaly,Malayalam,10:15,Gold,₹129,222,53
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,10:15,Recliner,₹350,11,2
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,10:15,Platinum,₹170,86,30
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,10:15,Gold,₹150,102,13
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,10:15,Silver,₹90,15,0
Thrissur,VKGCinemasPavaratty,Malayalam,10:15,Platinum,₹200,15,5
Thrissur,VKGCinemasPavaratty,Malayalam,10:15,Gold,₹150,116,29
Thrissur,VKGCinemasPavaratty,Malayalam,10:15,Silver,₹130,64,1
Pathanamthitta,AashirvadCineplexxKadappra,Malayalam,10:15,SofaSeat,₹275,15,6
Pathanamthitta,AashirvadCineplexxKadappra,Malayalam,10:15,Platinum,₹175,61,20
Pathanamthitta,AashirvadCineplexxKadappra,Malayalam,10:15,Gold,₹155,117,29
Pathanamthitta,AashirvadCineplexxKadappra,Malayalam,10:15,Silver,₹100,13,0
Thrissur,SreedeviSCinemasKodaly,Malayalam,10:15,Royal,₹220,21,0
Thrissur,SreedeviSCinemasKodaly,Malayalam,10:15,Blue,₹129,132,4
Alappuzha,CCinemasChengannur,Malayalam,10:20,ExecutiveSofa,₹250,22,0
Alappuzha,CCinemasChengannur,Malayalam,10:20,KingsLounge,₹160,321,19
Thrissur,INOXSobhaCityMall,Malayalam,10:25,RoyalRecliner,₹360,14,8
Thrissur,INOXSobhaCityMall,Malayalam,10:25,Club,₹200,256,17
Thrissur,INOXSobhaCityMall,Malayalam,10:25,Royal,₹200,51,18
Thrissur,INOXSobhaCityMall,Malayalam,10:25,Executive,₹140,36,4
Trivandrum,ArtechCinemasTrivandrum,Malayalam,10:25,Gold,₹350,13,1
Trivandrum,ArtechCinemasTrivandrum,Malayalam,10:25,Platinum,₹190,112,27
Trivandrum,ArtechCinemasTrivandrum,Malayalam,10:25,Silver,₹170,68,2
Kozhikode,RegalCinemasKozhikode,Malayalam,10:30,FirstclassSc2,₹200,165,24
Kollam,KhansCinemaACKarunagapally,Malayalam,10:30,Balcony,₹150,235,21
Kasaragod,VGMMultiplexAC2K7Point1Dolby,Malayalam,10:30,VgmRed,₹170,161,50
Kannur,ArchanaCineplexRGBLaser4K3DATMOSPayyanur,Malayalam,10:30,Standard,₹129.7,278,173
Alappuzha,SwathyScreensNooranad,Malayalam,10:30,Premium,₹160,310,76
Alappuzha,SwathyScreensNooranad,Malayalam,10:30,RedPlus,₹220,24,20
Kozhikode,DreamCinemaKallachi,Malayalam,10:30,Sofa,₹200,18,3
Kozhikode,DreamCinemaKallachi,Malayalam,10:30,Platinum,₹129.7,144,21
Kozhikode,DreamCinemaKallachi,Malayalam,10:30,Gold,₹110,116,0
Kollam,AashirvadCineplexxPathanapuram,Malayalam,10:30,Recliner,₹350,14,0
Kollam,AashirvadCineplexxPathanapuram,Malayalam,10:30,Platinum,₹210,66,3
Kollam,AashirvadCineplexxPathanapuram,Malayalam,10:30,Gold,₹160,120,17
Thrissur,DCINEMAAMUGHALMALLBARCO4KLASERKODUNGALLUR,Malayalam,10:30,Gold,₹150,166,8
Ernakulam,PVRLuluKochi,Malayalam,10:30,Recliner,₹500,10,10
Ernakulam,PVRLuluKochi,Malayalam,10:30,Prime,₹240,108,87
Ernakulam,PVRLuluKochi,Malayalam,10:30,ClassicPlus,₹220,138,80
Ernakulam,PVRLuluKochi,Malayalam,10:30,Classic,₹180,69,2
Kozhikode,CityMallCinemasThamarassery,Malayalam,10:30,Platinum,₹260,8,0
Kozhikode,CityMallCinemasThamarassery,Malayalam,10:30,Gold,₹160,102,6
Kannur,CinepolisSecuraCentreKannur,Malayalam,10:30,Normal,₹110,26,0
Kannur,CinepolisSecuraCentreKannur,Malayalam,10:30,Executive,₹140,94,13
Kannur,CinepolisSecuraCentreKannur,Malayalam,10:30,Premium,₹160,60,24
Kottayam,MYCinemasThalayolaparambuKerala,Malayalam,10:30,Platinum,₹140,84,8
Kottayam,MYCinemasThalayolaparambuKerala,Malayalam,10:30,Gold,₹110,402,18
Kottayam,MYCinemasThalayolaparambuKerala,Malayalam,10:30,Executive,₹80,88,0
Kasaragod,MagicFramesMehboobTheatreComplex4KKasaragod,Malayalam,10:30,Executive,₹129.7,258,16
Kannur,MagicFramesSahinaCinemasMattannur,Malayalam,10:30,Audi1,₹129.78,216,92
Kasaragod,DeepthiCinemasAC2KDolbyAtmosKanhangad,Malayalam,10:30,Gold,₹150,185,54
Ernakulam,CinepolisCentreSquareKochiWithIMAX,Malayalam,10:30,Normal,₹140,33,4
Ernakulam,CinepolisCentreSquareKochiWithIMAX,Malayalam,10:30,Executive,₹160,70,6
Ernakulam,CinepolisCentreSquareKochiWithIMAX,Malayalam,10:30,Premium,₹180,177,34
Palakkad,MagicFramesCinemas4KLaser3DDolbyAtmos,Malayalam,10:30,Gold,₹150,137,11
Kannur,MagicFramesDowntownMallThalassery,Malayalam,10:30,Gold,₹180,136,14
Kannur,BabyCinemasKuthuparamba,Malayalam,10:30,Standard,₹130,216,67
Kasaragod,KaveriCinemasACDTSDolbyKarmamthody,Malayalam,10:30,Standard,₹110,145,0
Kasaragod,MoviemaxCircleKasaragod,Malayalam,10:30,Max1,₹129.8,443,17
Kottayam,AbhilashTheatre4KKottayam,Malayalam,10:45,Royal,₹180,16,14
Kottayam,AbhilashTheatre4KKottayam,Malayalam,10:45,Platinum,₹160,252,41
Kottayam,AbhilashTheatre4KKottayam,Malayalam,10:45,Gold,₹140,413,112
Kottayam,AbhilashTheatre4KKottayam,Malayalam,10:45,Silver,₹110,54,0
Kollam,GmaxCinemasJerome3D7Point1JBLKollam,Malayalam,10:45,Red,₹160,279,30
Trivandrum,GreenfieldMoviemaxCinemasTrivandrum,Malayalam,10:45,Executive,₹160,145,51
Thrissur,VBCinemas4KRGBLaserATMOSThriprayar,Malayalam,10:45,Reclainer,₹350,16,3
Thrissur,VBCinemas4KRGBLaserATMOSThriprayar,Malayalam,10:45,Gold,₹200,48,3
Thrissur,VBCinemas4KRGBLaserATMOSThriprayar,Malayalam,10:45,Royal,₹170,96,10
Thrissur,VBCinemas4KRGBLaserATMOSThriprayar,Malayalam,10:45,Club,₹129.8,112,38
Thrissur,VBCinemas4KRGBLaserATMOSThriprayar,Malayalam,10:45,Lounger,₹200,14,0
Kottayam,RDCinemasMundakayam,Malayalam,10:45,Executive,₹140,198,22
Kottayam,RDCinemasMundakayam,Malayalam,10:45,Economy,₹100,16,0
Pathanamthitta,AiswaryaTheatrePathanamthitta,Malayalam,10:45,Special,₹150,392,22
Kannur,AlinkeelCinemas2KAtmos7Point1Taliparamba,Malayalam,10:45,Reserved,₹129.8,277,14
Kannur,AlinkeelCinemas2KAtmos7Point1Taliparamba,Malayalam,10:45,Balcony,₹150,219,27
Trivandrum,CinepolisMOTTrivandrum,Malayalam,10:45,Normal,₹180,40,0
Trivandrum,CinepolisMOTTrivandrum,Malayalam,10:45,Executive,₹200,160,9
Trivandrum,CinepolisMOTTrivandrum,Malayalam,10:45,Premium,₹220,92,14
Trivandrum,CinepolisMOTTrivandrum,Malayalam,10:45,Vip,₹400,15,2
Kozhikode,EMaxCinemasDolbyAtmosRGBLaserCalicut,Malayalam,10:45,Audi1,₹160,175,73
Malappuram,MagicFramesKhayaam4KDolbyAtmos3DTirur,Malayalam,10:45,GoldClass,₹200,196,4
Malappuram,MagicFramesKhayaam4KDolbyAtmos3DTirur,Malayalam,10:45,SilverClass,₹150,545,11
Ernakulam,PVRForumMallKochi,Malayalam,10:55,Recliner,₹500,13,12
Ernakulam,PVRForumMallKochi,Malayalam,10:55,Elite,₹240,218,81
Ernakulam,PVRForumMallKochi,Malayalam,10:55,Prime,₹190,60,8
Ernakulam,PVRForumMallKochi,Malayalam,10:55,Classic,₹170,40,0
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Malayalam,11:00,RoyalCircle,₹150,484,34
Trivandrum,SriKalidasMplexKattakkada,Malayalam,11:00,Recliner,₹400,45,2
Trivandrum,SriKalidasMplexKattakkada,Malayalam,11:00,Gold,₹180,258,33
Trivandrum,SriKalidasMplexKattakkada,Malayalam,11:00,Silver,₹150,224,3
Kollam,VarshaRoyalSuiteAnchal,Malayalam,11:00,Executive,₹200,35,6
Kollam,VarshaRoyalSuiteAnchal,Malayalam,11:00,Classic,₹150,138,8
Palakkad,AlexMoviesPattambi,Malayalam,11:00,ElishaCircle,₹110,320,16
Trivandrum,KrishnaTheatreKazhakkoottam,Malayalam,11:00,Family,₹150,79,11
Trivandrum,KrishnaTheatreKazhakkoottam,Malayalam,11:00,Friends,₹129.8,136,22
Ernakulam,ANNCinemaComplex4K3DDolbyAtmosRGBLASER,Malayalam,11:00,Platinum,₹150,576,45
Kozhikode,AshokCNC4KDolbyAtmosTrippleBeam3DVadakara,Malayalam,11:00,Platinum,₹129.8,120,39
Kollam,DhanyaRemyaKollam,Malayalam,11:00,Platinum,₹135,200,31
Kottayam,VelvetViewCinemasKumarakom,Malayalam,11:00,Platinum,₹250,14,0
Kottayam,VelvetViewCinemasKumarakom,Malayalam,11:00,Gold,₹150,146,4
Kottayam,VelvetViewCinemasKumarakom,Malayalam,11:00,Silver,₹100,36,0
Ernakulam,GCinemasKothamangalam4K3DDolbyAtmos,Malayalam,11:00,Standard,₹150,279,44
Kollam,SeemaCineplexPathanapuram,Malayalam,11:00,Audi1,₹160,206,0
Kottayam,DhanyaRemyaChanganassery,Malayalam,11:00,Remya,₹135,196,50
Malappuram,MarsCinemas4KDolbyAtmosChangaramkulam,Malayalam,11:00,Executive,₹250,19,0
Malappuram,MarsCinemas4KDolbyAtmosChangaramkulam,Malayalam,11:00,Platinum,₹150,245,17
Kozhikode,One2OnePlusFilmCity4K3DDolbyAtmosVadakara,Malayalam,11:00,Screen1,₹129.8,300,65
Kottayam,SuryaTheater4KDolbyAtmosErattupetta,Malayalam,11:00,Platinum,₹300,20,0
Kottayam,SuryaTheater4KDolbyAtmosErattupetta,Malayalam,11:00,Gold,₹150,294,86
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,11:00,Silver,₹190,30,2
