City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Thrissur,INOXSobhaCityMall,Malayalam,09:45,RoyalRecliner,₹270,10,2
Thrissur,INOXSobhaCityMall,Malayalam,09:45,Royal,₹170,28,12
Thrissur,INOXSobhaCityMall,Malayalam,09:45,Club,₹140,63,2
Thrissur,INOXSobhaCityMall,Malayalam,09:45,Executive,₹110,22,0
Trivandrum,PVRLuluTrivandrum,Malayalam,10:00,Recliner,₹500,7,3
Trivandrum,PVRLuluTrivandrum,Malayalam,10:00,Prime,₹260,68,21
Trivandrum,PVRLuluTrivandrum,Malayalam,10:00,Classic,₹180,104,9
Trivandrum,CinepolisMOTTrivandrum,Malayalam,10:00,VipExecutive,₹250,18,0
Trivandrum,CinepolisMOTTrivandrum,Malayalam,10:00,VipPremium,₹300,18,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Normal,₹200,38,4
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Executive,₹220,65,1
Kozhikode,CinepolisGokulamGalleriaMall,Malayalam,10:00,Premium,₹240,56,4
Ernakulam,PVRForumMallKochi,Malayalam,10:00,Recliner,₹550,10,4
Ernakulam,PVRForumMallKochi,Malayalam,10:00,Elite,₹240,94,22
Ernakulam,PVRForumMallKochi,Malayalam,10:00,Prime,₹210,48,3
Ernakulam,PVRForumMallKochi,Malayalam,10:00,Classic,₹200,32,0
Kozhikode,ARCCoronation4KDolbyAtmos,Malayalam,10:00,Elite,₹160,146,12
Ernakulam,VanithaCineplexRGBLaser4K3DATMOSEdappally,Malayalam,10:00,Screen1,₹170,180,47
Ernakulam,VanithaCineplexRGBLaser4K3DATMOSEdappally,Malayalam,10:00,Screen1Sofa,₹250,32,6
Ernakulam,MYCinemasRedCarpetKariyad,Malayalam,10:00,GoldLounge,₹280,32,6
Ernakulam,MYCinemasRedCarpetKariyad,Malayalam,10:00,ExecutiveOffline,₹150,96,0
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:05,Normal,₹190,19,3
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:05,Executive,₹200,43,6
Ernakulam,CinepolisCentreSquareMallKochi,Malayalam,10:05,Premium,₹210,44,21
Ernakulam,PVRLuluKochi,Malayalam,10:10,Recliner,₹400,13,3
Ernakulam,PVRLuluKochi,Malayalam,10:10,Prime,₹210,143,45
Ernakulam,PVRLuluKochi,Malayalam,10:10,ClassicPlus,₹190,133,10
Ernakulam,PVRLuluKochi,Malayalam,10:10,Classic,₹160,57,0
Kollam,AashirvadCineplexxKottiyam,Malayalam,10:15,Sofa,₹230,13,5
Kollam,AashirvadCineplexxKottiyam,Malayalam,10:15,Platinum,₹200,24,3
Kollam,AashirvadCineplexxKottiyam,Malayalam,10:15,Gold,₹170,70,8
Kollam,JBCinemas4K3DNallila,Malayalam,10:15,Blue,₹129.83,242,9
Ernakulam,NewCentralTalkiesDolbyAtmos2KAnd3DThripun,Malayalam,10:15,Platinum,₹240,11,0
Ernakulam,NewCentralTalkiesDolbyAtmos2KAnd3DThripun,Malayalam,10:15,Gold,₹180,129,23
Trivandrum,PVRLuluTrivandrum,Malayalam,10:20,LuxePrime,₹500,18,4
Trivandrum,PVRLuluTrivandrum,Malayalam,10:20,Luxe,₹500,24,6
Ernakulam,PVRLuluKochi,Malayalam,10:20,Recliner,₹500,56,7
Kasaragod,MoviemaxCircleKasaragod,Malayalam,10:30,Max2,₹129.8,195,7
Kannur,AlakodeFilmCity4KDolbyAtmos,Malayalam,10:30,Chandra,₹160,151,0
Kasaragod,VGMMultiplexAC2K7Point1Dolby,Malayalam,10:30,VgmGreen,₹190,160,20
Kannur,ShanthiCinemasPayyanur,Malayalam,10:30,Platinum,₹130,443,47
Kollam,KrishnaACKarunagappally2KDolby7Point1,Malayalam,10:30,Platinum,₹170,54,0
Kollam,KrishnaACKarunagappally2KDolby7Point1,Malayalam,10:30,Gold,₹125,251,23
