City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,10:00,Recliner,₹300,29,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,10:00,Premium,₹150,135,5
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,10:00,Executive,₹100,27,1
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,10:00,Lounger,₹180,24,1
Trivandrum,PvrLuluTrivandrum,English,10:35,Recliner,₹300,7,0
Trivandrum,PvrLuluTrivandrum,English,10:35,Prime,₹160,51,3
Trivandrum,PvrLuluTrivandrum,English,10:35,Classic,₹140,70,0
Trivandrum,PvrLuluTrivandrum,English,14:10,Prime,₹300,32,5
Trivandrum,PvrLuluTrivandrum,English,14:10,Classic,₹250,48,3
Ernakulam,PvrLuluKochi,English,14:50,Classic,₹300,116,24
Ernakulam,PvrLuluKochi,English,16:20,Recliner,₹350,9,0
Ernakulam,PvrLuluKochi,English,16:20,Prime,₹200,64,21
Ernakulam,PvrLuluKochi,English,16:20,ClassicPlus,₹180,91,14
Ernakulam,PvrLuluKochi,English,16:20,Classic,₹160,39,0
Ernakulam,PvrForumMallKochi,English,19:00,Recliner,₹400,8,6
Ernakulam,PvrForumMallKochi,English,19:00,Elite,₹190,125,36
Ernakulam,PvrForumMallKochi,English,19:00,Classic,₹170,14,0
Trivandrum,PvrLuluTrivandrum,English,21:45,Recliner,₹350,8,7
Trivandrum,PvrLuluTrivandrum,English,21:45,Prime,₹190,34,34
Trivandrum,PvrLuluTrivandrum,English,21:45,Classic,₹160,65,30
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,22:30,Recliner,₹390,29,0
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,22:30,Premium,₹190,135,1
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,22:30,Executive,₹100,27,1
Kozhikode,PalaxiCinemasHiLiteMallKozhikode,English,22:30,Lounger,₹210,24,1
