City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Wayanad,BlueMoonTheatrePulpally,Malayalam,11:15,Audi1,₹110,168,0
Kottayam,UniversalTheatreAC4K3DDolby7Point1SoundPala,Malayalam,11:30,RoyalCircle,₹150,413,0
Kannur,LibertyCinemaKannurAmbiliTheatre,Malayalam,11:30,Platinum,₹129.8,230,140
Trivandrum,SwaramLayamCinemasKattakada,Malayalam,11:30,Swaram,₹129.8,193,0
Ernakulam,PVRForumMallKochi,Malayalam,12:35,Elite,₹220,85,79
Ernakulam,PVRForumMallKochi,Malayalam,12:35,Classic,₹180,22,6
Trivandrum,ArtechCinemasTrivandrum,Malayalam,12:40,Platinum,₹210,105,19
Trivandrum,ArtechCinemasTrivandrum,Malayalam,12:40,Silver,₹190,68,3
Ernakulam,PVRLuluKochi,Malayalam,12:45,Recliner,₹550,54,39
Idukki,AashirvadCineplexxThodupuzha,Malayalam,13:00,Gold,₹200,69,14
Idukki,AashirvadCineplexxThodupuzha,Malayalam,13:00,Silver,₹165,254,12
Trivandrum,CinepolisMOTTrivandrum,Malayalam,13:05,PlatinumExecutive,₹150,32,16
Trivandrum,CinepolisMOTTrivandrum,Malayalam,13:05,PlatinumPremium,₹150,33,31
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,13:15,Recliner,₹450,27,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,13:15,Premium,₹220,165,37
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Malayalam,13:15,Executive,₹150,40,8
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,13:20,Recliner,₹350,13,0
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,13:20,Platinum,₹170,91,0
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,13:20,Gold,₹150,111,0
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,13:20,Silver,₹90,24,0
Alappuzha,PANCinemasAlappuzha,Malayalam,13:20,Platinum,₹250,34,4
Alappuzha,PANCinemasAlappuzha,Malayalam,13:20,Gold,₹180,138,5
Wayanad,BlueMoonTheatrePulpally,Malayalam,14:15,Audi1,₹110,168,0
Trivandrum,NewTheatre4KRGBLASERDolbyAtmosTrivandrum,Malayalam,14:30,Elite,₹150,173,92
Kottayam,UniversalTheatreAC4K3DDolby7Point1SoundPala,Malayalam,14:30,RoyalCircle,₹150,413,2
Trivandrum,GangaCineHouse4KDolbyAtmosAttingal,Malayalam,14:30,Yamuna,₹130,330,0
Trivandrum,SwaramLayamCinemasKattakada,Malayalam,14:30,Swaram,₹129.8,193,5
Trivandrum,PVRLuluTrivandrum,Malayalam,15:25,Recliner,₹450,7,6
Trivandrum,PVRLuluTrivandrum,Malayalam,15:25,Prime,₹230,51,46
Trivandrum,PVRLuluTrivandrum,Malayalam,15:25,Classic,₹210,70,56
Ernakulam,ShafazLaserGrand4KTheatreNorthParavoor,Malayalam,15:30,BrownSquare,₹120,279,34
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,16:00,Recliner,₹350,11,8
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,16:00,Platinum,₹170,47,29
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,16:00,Gold,₹150,101,21
Alappuzha,MLalCineplexxAashirvadHaripad,Malayalam,16:00,Silver,₹90,17,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,16:15,Silver,₹200,26,0
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,16:15,Gold,₹220,65,58
Kozhikode,MirajCinemasBlueDiamondMallCalicut,Malayalam,16:15,Platinum,₹240,40,36
Idukki,SILVERHILLSCINEMAS4KLaser3DDOLBY7Point1,Malayalam,16:30,Silver,₹160,172,0
Trivandrum,NewTheatre4KRGBLASERDolbyAtmosTrivandrum,Malayalam,17:00,Elite,₹150,173,45
Wayanad,BlueMoonTheatrePulpally,Malayalam,17:15,Audi1,₹110,168,0
Kottayam,AnandTheatreTripleBeam3DKottayam,Malayalam,17:45,Platinum,₹160,105,30
Kottayam,AnandTheatreTripleBeam3DKottayam,Malayalam,17:45,Gold,₹130,370,14
Kottayam,AnandTheatreTripleBeam3DKottayam,Malayalam,17:45,Silver,₹110,50,0
Kottayam,UniversalTheatreAC4K3DDolby7Point1SoundPala,Malayalam,18:00,RoyalCircle,₹150,413,0
Ernakulam,PVRForumMallKochi,Malayalam,18:25,Elite,₹220,85,82
Ernakulam,PVRForumMallKochi,Malayalam,18:25,Classic,₹180,22,0
Trivandrum,SwaramLayamCinemasKattakada,Malayalam,18:30,Swaram,₹129.8,193,25
Thrissur,INOXSobhaCityMall,Malayalam,18:45,RoyalRecliner,₹360,10,9
Thrissur,INOXSobhaCityMall,Malayalam,18:45,Club,₹200,66,65
Thrissur,INOXSobhaCityMall,Malayalam,18:45,Royal,₹200,28,27
Thrissur,INOXSobhaCityMall,Malayalam,18:45,Executive,₹140,22,7
Kannur,DevCinemasKanichar,Malayalam,19:00,Screen2,₹129.8,189,23
Ernakulam,CasinoTalkiesAC2K3DDOLBYSURROUND7Point1Aluva,Malayalam,19:00,Daimond,₹150,442,60
Idukki,SILVERHILLSCINEMAS4KLaser3DDOLBY7Point1,Malayalam,19:00,Silver,₹160,172,21
Ernakulam,PVRLuluKochi,Malayalam,19:15,Recliner,₹450,9,7
Ernakulam,PVRLuluKochi,Malayalam,19:15,Prime,₹230,64,55
Ernakulam,PVRLuluKochi,Malayalam,19:15,ClassicPlus,₹210,91,86
Ernakulam,PVRLuluKochi,Malayalam,19:15,Classic,₹180,39,12
Ernakulam,CinepolisCentreSquareKochiWithIMAX,Malayalam,19:30,Normal,₹150,19,10
Ernakulam,CinepolisCentreSquareKochiWithIMAX,Malayalam,19:30,Executive,₹170,43,39
Ernakulam,CinepolisCentreSquareKochiWithIMAX,Malayalam,19:30,Premium,₹190,44,38
Ernakulam,PVROberonMallKochi,Malayalam,19:40,ClassicPlus,₹220,81,78
Ernakulam,PVROberonMallKochi,Malayalam,19:40,Classic,₹190,36,28
Wayanad,BlueMoonTheatrePulpally,Malayalam,20:30,Audi1,₹110,168,0
Kottayam,AnandTheatreTripleBeam3DKottayam,Malayalam,20:45,Platinum,₹160,105,38
Kottayam,AnandTheatreTripleBeam3DKottayam,Malayalam,20:45,Gold,₹130,370,26
Kottayam,AnandTheatreTripleBeam3DKottayam,Malayalam,20:45,Silver,₹110,50,0
Kottayam,UniversalTheatreAC4K3DDolby7Point1SoundPala,Malayalam,21:00,RoyalCircle,₹150,413,12
Trivandrum,PVRLuluTrivandrum,Malayalam,21:30,Recliner,₹500,9,9
Trivandrum,PVRLuluTrivandrum,Malayalam,21:30,Prime,₹250,76,74
Trivandrum,PVRLuluTrivandrum,Malayalam,21:30,Classic,₹230,105,76
Trivandrum,GangaCineHouse4KDolbyAtmosAttingal,Malayalam,21:30,Yamuna,₹130,330,7
Trivandrum,SwaramLayamCinemasKattakada,Malayalam,21:30,Swaram,₹129.8,193,34
Kannur,RajadhaniCinemas,Malayalam,10:30,UpperCircle,₹130,502,10
Palakkad,PriyadarsiniCinema,Malayalam,11:30,Executive,₹180,68,0
Palakkad,PriyadarsiniCinema,Malayalam,11:30,Dress,₹110,368,13
Kannur,RajadhaniCinemasNearNewBusStandPayyanur,Malayalam,13:30,UpperCircle,₹130,502,10
Palakkad,PriyadarsiniCinemaPriyadarsiniRoadPalakkad,Malayalam,14:30,Executive,₹180,68,14
Palakkad,PriyadarsiniCinemaPriyadarsiniRoadPalakkad,Malayalam,14:30,Dress,₹110,368,2
Trivandrum,AriesplexSLCinemasCinionicDolbyAtmosVanchiyoorThiruvananthapuram,Malayalam,14:45,Executive,₹110,70,10
Kannur,RajadhaniCinemas,Malayalam,16:30,UpperCircle,₹130,502,17
Ernakulam,STCinemasGoldenMallMattoor,Malayalam,17:00,Premium,₹150,141,2
Palakkad,PriyadarsiniCinema,Malayalam,18:00,Dress,₹110,302,36
Kannur,RajadhaniCinemas,Malayalam,19:30,UpperCircle,₹130,502,15
Palakkad,PriyadarsiniCinema,Malayalam,21:00,Dress,₹110,302,45
Trivandrum,AriesplexSLCinemasCinionicDolbyAtmosTrivandrum,Malayalam,21:30,Executive,₹110,70,44
