City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,CinepolisCentreSquareKochi,English,17:10,Normal,₹140,25,2
Ernakulam,CinepolisCentreSquareKochi,English,17:10,Executive,₹170,39,3
Ernakulam,CinepolisCentreSquareKochi,English,17:10,Premium,₹200,84,24
Ernakulam,PVRForumMallKochi,English,19:30,Recliner,₹400,8,3
Ernakulam,PVRForumMallKochi,English,19:30,Elite,₹170,125,32
Ernakulam,PVRForumMallKochi,English,19:30,Classic,₹140,14,0
Ernakulam,CinepolisVIPCentreSquareMallKochi,English,19:45,VipExecutive,₹400,20,0
Ernakulam,CinepolisVIPCentreSquareMallKochi,English,19:45,VipPremium,₹450,53,8
Trivandrum,PVRLuluTrivandrum,English,21:40,Recliner,₹500,7,2
Trivandrum,PVRLuluTrivandrum,English,21:40,Prime,₹260,51,22
Trivandrum,PVRLuluTrivandrum,English,21:40,Classic,₹240,70,19
Ernakulam,PVRLuluKochi,English,22:10,Recliner,₹350,9,3
Ernakulam,PVRLuluKochi,English,22:10,Prime,₹200,64,10
Ernakulam,PVRLuluKochi,English,22:10,ClassicPlus,₹180,91,10
Ernakulam,PVRLuluKochi,English,22:10,Classic,₹160,39,0
Ernakulam,CinepolisCentreSquareMallKochi,English,22:35,Normal,₹140,25,4
Ernakulam,CinepolisCentreSquareMallKochi,English,22:35,Executive,₹170,39,5
Ernakulam,CinepolisCentreSquareMallKochi,English,22:35,Premium,₹200,84,22
