District,Name,Language,Time(IST),Area,Price,Capacity,Booked
Ernakulam,PvrLuluKochi,MultiLanguage,11:00,Classic,₹1,39,0
Ernakulam,PvrLuluKochi,MultiLanguage,11:00,ClassicPlus,₹1,91,2
Ernakulam,PvrLuluKochi,MultiLanguage,11:00,Prime,₹1,68,14
Ernakulam,PvrLuluKochi,MultiLanguage,11:00,Recliner,₹1,10,4
Ernakulam,PvrForumMallKochi,MultiLanguage,11:30,Classic,₹1,22,0
Ernakulam,PvrForumMallKochi,MultiLanguage,11:30,Elite,₹1,85,11
Trivandrum,PvrLuluTrivandrum,MultiLanguage,12:10,Classic,₹1,65,3
Trivandrum,PvrLuluTrivandrum,MultiLanguage,12:10,Prime,₹1,34,24
Trivandrum,PvrLuluTrivandrum,MultiLanguage,12:10,Recliner,₹1,8,7
Thrissur,InoxSobhaCityMall,MultiLanguage,13:30,Club,₹1,66,2
Thrissur,InoxSobhaCityMall,MultiLanguage,13:30,Executive,₹1,22,0
Thrissur,InoxSobhaCityMall,MultiLanguage,13:30,RoyalRecliner,₹1,10,10
Thrissur,InoxSobhaCityMall,MultiLanguage,13:30,Royal,₹1,28,17
