City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Tamil,10:00,Recliner,₹450,27,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Tamil,10:00,Premium,₹220,165,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Tamil,10:00,Executive,₹150,40,0
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,11:00,RoyalCircle,₹150,177,6
Palakkad,RavirajComplexACKozhinjampara,Tamil,11:00,FirstClass,₹110,172,77
Trivandrum,NewTheatre4KRGBLASERDolbyAtmosTrivandrum,Tamil,11:00,Elite,₹150,173,25
Alappuzha,SNTheatreHaripad,Tamil,11:15,Screen1,₹110,175,0
Palakkad,VCinemasSreeDeviDurgaPalakkad,Tamil,11:15,Sofa,₹180,89,6
Palakkad,VCinemasSreeDeviDurgaPalakkad,Tamil,11:15,GoldCircle,₹129.8,339,8
Trivandrum,PVRLuluTrivandrum,Tamil,12:35,Recliner,₹500,7,5
Trivandrum,PVRLuluTrivandrum,Tamil,12:35,Prime,₹210,68,8
Trivandrum,PVRLuluTrivandrum,Tamil,12:35,Classic,₹180,104,11
Palakkad,RavirajComplexACKozhinjampara,Tamil,14:00,FirstClass,₹110,172,79
Trivandrum,NewTheatre4KRGBLASERDolbyAtmosTrivandrum,Tamil,14:00,Elite,₹150,173,18
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,14:30,RoyalCircle,₹150,177,10
Ernakulam,Kanoos2KRavipuram,Tamil,15:00,Diamond,₹110,186,0
Trivandrum,GreenfieldMoviemaxCinemasTrivandrum,Tamil,16:00,Executive,₹150,145,7
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Tamil,16:30,Recliner,₹450,27,0
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Tamil,16:30,Premium,₹220,165,8
Kozhikode,PalaxiCinemasHiLITEMALLKozhikode,Tamil,16:30,Executive,₹150,40,8
Idukki,ChandanaCinemaMarayur,Tamil,17:45,BoxLeft,₹129.19,26,0
Idukki,ChandanaCinemaMarayur,Tamil,17:45,BoxRight,₹129.19,24,17
Idukki,ChandanaCinemaMarayur,Tamil,17:45,FirstClasss,₹110,356,327
Palakkad,AromaScreen2Palakkad,Tamil,17:50,KingCircle,₹129.8,235,22
Palakkad,RavirajComplexACKozhinjampara,Tamil,18:00,FirstClass,₹110,172,85
Alappuzha,SNTheatreHaripad,Tamil,18:00,Screen1,₹110,175,0
Ernakulam,SangeetaCinemaKochi,Tamil,18:00,BlueCircle,₹150,187,18
Trivandrum,SreeKaleeswarySreeSaraswathy2K3DKaliyikkav,Tamil,18:15,RoyalCircle,₹150,177,6
Ernakulam,PVRLuluKochi,Tamil,18:30,Recliner,₹400,10,10
Ernakulam,PVRLuluKochi,Tamil,18:30,Prime,₹210,68,62
Ernakulam,PVRLuluKochi,Tamil,18:30,ClassicPlus,₹190,91,55
Ernakulam,PVRLuluKochi,Tamil,18:30,Classic,₹160,39,1
Idukki,SanthoshCinemaDolby7Point1Kattappana,Tamil,18:30,RoyalCircle,₹110,268,0
